bike_theft_id,colour,make,model,speed,bike_type,status,cost
600082,RED   ,DYNACRAFT      ,8204-88CT      ,7,MT,STOLEN,130.0
600083,SIL   ,SPECIALIZED    ,ROUBAIX        ,27,RC,STOLEN,1050.0
600084,BLK   ,GIANT          ,SEDONA         ,24,OT,STOLEN,600.0
600085,BLK   ,SCHWINN        ,LAGUNA         ,1,SC,STOLEN,1800.0
600086,BLKBGE,UNKNOWN        ,,21,OT,STOLEN,700.0
600087,REDSIL,MARIN OR MARINO,VALENCIA       ,18,RC,STOLEN,1500.0
600088,GRY   ,JAMIS          ,COMMUTER 2     ,8,MT,STOLEN,600.0
600089,WHIBLK,SCOTT          ,SCALE 50       ,21,MT,STOLEN,1500.0
600090,YEL   ,OTHER          ,GRANTURIMO     ,1,RG,STOLEN,1000.0
600091,GRY   ,HARO           ,,18,MT,STOLEN,
600092,BLKWHI,SPECIALIZED    ,CARVE          ,21,MT,STOLEN,1499.95
600093,SILWHI,GIANT          ,ROAM 2         ,21,MT,STOLEN,529.95
600094,WHIBLK,ROCKY MOUNTAIN ,CUSTOM BUILD   ,27,MT,STOLEN,7500.0
600095,TRQ   ,OTHER          ,DEKA           ,1,BM,STOLEN,
600096,BLK   ,OTHER          ,VIENNA 72V     ,1,EL,STOLEN,1478.0
600097,BLKRED,SUPERCYCLE     ,JS.014         ,21,MT,STOLEN,200.0
600098,RED   ,DEVINCI        ,HYBRIDE        ,10,MT,STOLEN,500.0
600099,BLUWHI,FIORI          ,,10,OT,STOLEN,400.0
600100,BLU   ,DEVINCI        ,CHAMELEON      ,24,MT,STOLEN,
600101,WHI   ,LOUIS GARNEAU  ,HARMONY        ,21,RG,UNKNOWN,1000.0
600102,BLKBLU,GIANT          ,ROAM           ,24,OT,STOLEN,600.0
600103,BLU   ,GIANT          ,OCR            ,16,RC,STOLEN,1500.0
600104,DBL   ,GIANT          ,YUKON          ,21,RG,STOLEN,600.0
600105,,CCM            ,PRESTO         ,21,RC,STOLEN,370.0
600106,BLK   ,TEK            ,710015BLACK-SL ,18,BM,STOLEN,1000.0
600107,PLE   ,K2             ,TREELINE       ,24,OT,STOLEN,500.0
600108,LBL   ,EMMO           ,GT5            ,1,EL,STOLEN,1300.0
600109,BLK   ,GI             ,ANYROAD        ,99,MT,STOLEN,
600110,BLK   ,RAPTOR         ,SCOOTER        ,1,SC,STOLEN,1200.0
