timeID,hour,day,month,year,dayOfWeek
635498,19,23,January,2011,Sunday    
647165,0,1,February,2011,Tuesday   
626776,0,7,February,2011,Monday    
627754,0,8,February,2011,Tuesday   
692381,0,10,February,2011,Thursday  
616578,0,1,March,2011,Tuesday   
649229,8,1,March,2011,Tuesday   
613625,9,28,March,2011,Monday    
648649,7,1,April,2011,Friday    
620302,11,1,April,2011,Friday    
754742,0,15,April,2011,Friday    
769317,12,15,April,2011,Friday    
688709,0,19,April,2011,Tuesday   
796482,18,1,May,2011,Sunday    
622503,0,1,June,2011,Wednesday 
634213,9,1,June,2011,Wednesday 
757190,12,1,June,2011,Wednesday 
711720,0,7,June,2011,Tuesday   
633907,0,9,June,2011,Thursday  
602218,1,14,June,2011,Tuesday   
600897,20,20,June,2011,Monday    
632631,0,1,July,2011,Friday    
618510,18,1,July,2011,Friday    
753154,17,2,July,2011,Saturday  
796784,22,14,July,2011,Thursday  
632503,0,1,August,2011,Monday    
748457,9,1,August,2011,Monday    
624661,19,1,August,2011,Monday    
646352,7,15,August,2011,Monday    
614793,0,1,September,2011,Thursday  
654803,9,1,September,2011,Thursday  
682235,14,1,September,2011,Thursday  
639768,16,1,September,2011,Thursday  
623219,0,11,September,2011,Sunday    
630857,7,22,September,2011,Thursday  
767258,0,30,September,2011,Friday    
612905,0,1,October,2011,Saturday  
648633,1,1,October,2011,Saturday  
642039,21,30,October,2011,Sunday    
645908,0,1,November,2011,Tuesday   
620875,0,11,November,2011,Friday    
637390,21,26,November,2011,Saturday  
629931,10,1,December,2011,Thursday  
781526,15,1,December,2011,Thursday  
758127,23,1,December,2011,Thursday  
608997,0,2,December,2011,Friday    
638442,0,26,December,2011,Monday    
788118,0,31,December,2011,Saturday  
604282,0,1,January,2012,Sunday    
649847,1,1,January,2012,Sunday    
626141,9,1,January,2012,Sunday    
611856,10,1,January,2012,Sunday    
760196,11,1,January,2012,Sunday    
604269,12,1,January,2012,Sunday    
769338,15,1,January,2012,Sunday    
637530,17,1,January,2012,Sunday    
767400,21,27,January,2012,Friday    
638657,12,30,January,2012,Monday    
629188,0,1,February,2012,Wednesday 
654434,12,3,February,2012,Friday    
657115,9,11,February,2012,Saturday  
629689,15,19,February,2012,Sunday    
621360,14,27,February,2012,Monday    
643173,0,1,March,2012,Thursday  
765991,19,1,March,2012,Thursday  
607142,0,12,March,2012,Monday    
764022,12,12,March,2012,Monday    
635301,13,21,March,2012,Wednesday 
651153,0,22,March,2012,Thursday  
646231,20,27,March,2012,Tuesday   
612709,0,1,April,2012,Sunday    
749136,8,1,April,2012,Sunday    
615588,16,1,April,2012,Sunday    
602171,19,1,April,2012,Sunday    
782978,0,1,May,2012,Tuesday   
642986,5,1,May,2012,Tuesday   
635589,12,1,May,2012,Tuesday   
741196,13,1,May,2012,Tuesday   
603152,14,1,May,2012,Tuesday   
714891,16,1,May,2012,Tuesday   
605684,22,1,May,2012,Tuesday   
640822,20,5,May,2012,Saturday  
629494,12,15,May,2012,Tuesday   
637639,23,19,May,2012,Saturday  
633536,0,1,June,2012,Friday    
696016,12,1,June,2012,Friday    
625797,14,1,June,2012,Friday    
767283,18,1,June,2012,Friday    
