,hood_id,name,division
2538,49,Bayview Woods-Steeles ,D33
2902,64,Woodbine Corridor ,D54
2933,70,South Riverdale ,D51
3425,51,Willowdale East ,D33
4086,77,Waterfront Communities-The Island ,D22
4565,69,Blake-Jones ,D54
4683,9,Edenbridge-Humber Valley ,D23
5390,98,Rosedale-Moore Park ,D51
5526,68,North Riverdale ,D54
5607,53,Henry Farm ,D42
5928,45,Parkwoods-Donalda ,D41
8037,87,High Park-Swansea ,D43
8267,11,Eringate-Centennial-West Deane ,D23
9433,54,O'Connor-Parkview ,D41
12052,46,Pleasant View ,D42
15514,52,Bayview Village ,D32
16070,95,Annex ,D52
16585,62,East End-Danforth ,D41
17203,74,North St.James Town ,D53
20534,124,Kennedy Park ,D54
24234,82,Niagara ,D32
26833,106,Humewood-Cedarvale ,D53
28577,75,Church-Yonge Corridor ,D53
33019,77,Waterfront Communities-The Island ,D12
35412,76,Bay Street Corridor ,D14
40272,81,Trinity-Bellwoods ,D43
43509,103,Lawrence Park South ,D32
47389,32,Englemount-Lawrence ,D53
47606,119,Wexford/Maryvale ,D42
53192,69,Blake-Jones ,D22
55836,77,Waterfront Communities-The Island ,D11
60085,17,Mimico ,D14
60969,91,Weston-Pellam Park ,D13
66671,6,Kingsview Village-The Westway ,D13
70915,77,Waterfront Communities-The Island ,D55
71828,63,The Beaches ,D41
74055,133,Centennial Scarborough ,D42
86701,17,Mimico ,D11
90044,110,Keelesdale-Eglinton West ,D51
92522,113,Weston ,D51
102442,120,Clairlea-Birchmount ,D43
102783,22,Humbermede ,D22
104110,109,Caledonia-Fairbank ,D12
105320,3,Thistletown-Beaumond Heights ,D31
116423,44,Flemingdon Park ,D33
121705,75,Church-Yonge Corridor ,D12
127148,32,Englemount-Lawrence ,D42
