,locationID,Hood_ID,Neighbourhood,Division
156,300767,115,Mount Dennis ,D12
157,300770,85,South Parkdale ,D11
158,300800,101,Forest Hill South ,D53
159,300811,40,St.Andrew-Windfields ,D32
160,300815,61,Taylor-Massey ,D55
161,300823,76,Bay Street Corridor ,D53
162,300837,59,Danforth East York ,D54
163,300860,131,Rouge ,D43
164,300917,61,Taylor-Massey ,D41
165,300968,8,Humber Heights-Westmount ,D23
166,300979,50,Newtonbrook East ,D33
167,301051,4,Rexdale-Kipling ,D23
168,301087,93,Dovercourt-Wallace Emerson-Junction ,D13
169,301205,48,Hillcrest Village ,D42
170,301218,23,Pelmo Park-Humberlea ,D12
171,301239,83,Dufferin Grove ,D11
172,301302,106,Humewood-Cedarvale ,D13
173,301337,99,Mount Pleasant East ,D53
174,301550,123,Cliffcrest ,D43
175,301825,41,Bridle Path-Sunnybrook-York Mills ,D33
176,301886,43,Victoria Village ,D41
177,301895,75,Church-Yonge Corridor ,D52
178,302218,65,Greenwood-Coxwell ,D54
179,302253,23,Pelmo Park-Humberlea ,D31
180,302396,124,Kennedy Park ,D43
181,302498,32,Englemount-Lawrence ,D13
182,302538,49,Bayview Woods-Steeles ,D33
183,302902,64,Woodbine Corridor ,D54
184,302933,70,South Riverdale ,D51
185,303425,51,Willowdale East ,D33
186,304086,77,Waterfront Communities-The Island ,D22
187,304565,69,Blake-Jones ,D54
188,304683,9,Edenbridge-Humber Valley ,D23
189,305390,98,Rosedale-Moore Park ,D51
190,305526,68,North Riverdale ,D54
191,305607,53,Henry Farm ,D42
192,305928,45,Parkwoods-Donalda ,D41
193,308037,87,High Park-Swansea ,D43
194,308267,11,Eringate-Centennial-West Deane ,D23
195,309433,54,O'Connor-Parkview ,D41
196,312052,46,Pleasant View ,D42
197,315514,52,Bayview Village ,D32
198,316070,95,Annex ,D52
199,316585,62,East End-Danforth ,D41
200,317203,74,North St.James Town ,D53
201,320534,124,Kennedy Park ,D54
202,324234,82,Niagara ,D32
203,326833,106,Humewood-Cedarvale ,D53
204,328577,75,Church-Yonge Corridor ,D53
205,333019,77,Waterfront Communities-The Island ,D12
206,335412,76,Bay Street Corridor ,D14
207,340272,81,Trinity-Bellwoods ,D43
208,343509,103,Lawrence Park South ,D32
209,347389,32,Englemount-Lawrence ,D53
210,347606,119,Wexford/Maryvale ,D42
211,353192,69,Blake-Jones ,D22
212,355836,77,Waterfront Communities-The Island ,D11
213,360085,17,Mimico ,D14
214,360969,91,Weston-Pellam Park ,D13
215,366671,6,Kingsview Village-The Westway ,D13
216,370915,77,Waterfront Communities-The Island ,D55
217,371828,63,The Beaches ,D41
218,374055,133,Centennial Scarborough ,D42
219,386701,17,Mimico ,D11
220,390044,110,Keelesdale-Eglinton West ,D51
221,392522,113,Weston ,D51
222,402442,120,Clairlea-Birchmount ,D43
223,402783,22,Humbermede ,D22
224,404110,109,Caledonia-Fairbank ,D12
225,405320,3,Thistletown-Beaumond Heights ,D31
226,416423,44,Flemingdon Park ,D33
227,421705,75,Church-Yonge Corridor ,D12
228,427148,32,Englemount-Lawrence ,D42
