hood_id,name,division,high_school,university,technical_degree,employment_rate
108,Briar Hill-Belgravia,13,21.33,46.02,15.03,62.05
109,Caledonia-Fairbank,13,24.63,26.56,15.69,61.15
110,Keelesdale-Eglinton West,12,27.06,23.27,12.85,54.85
111,Rockcliffe-Smythe,12,27.92,27.62,15.39,54.45
112,Beechborough-Greenbrook,12,28.5,24.55,16.75,52.95
113,Weston,12,26.91,30.61,19.12,55.75
114,L'Amoreaux,11,23.98,43.01,14.71,50.8
115,Mount Dennis,12,29.52,28.7,17.27,56.8
116,Steeles,42,24.52,44.65,11.27,47.65
117,Lambton Baby Point,42,14.91,63.8,10.8,62.25
118,Tam O'Shanter-Sullivan,42,22.95,47.59,13.34,51.05
119,Wexford/Maryvale,41,27.63,39.69,15.9,56.15
120,Clairlea-Birchmount,41,24.63,42.84,15.7,59.75
121,Oakwood Village,41,20.06,45.56,13,61.45
122,Birchcliffe-Cliffside,41,24.41,45.16,16.8,59.75
123,Cliffcrest,41,25.31,43.66,17.06,56.05
124,Kennedy Park,41,27.73,37.28,16.19,54.15
125,Ionview,41,25.68,38.99,16.54,56
126,Dorset Park,41,25.94,41.35,15.47,57.5
127,Bendale,43,26.4,42.34,14.77,53.15
128,Agincourt South-Malvern West,42,24.91,45.69,12.89,53.45
129,Agincourt North,42,25.68,39.58,12.19,50.25
130,Milliken,42,27.53,36.14,11.88,49.65
131,Rouge,42,26.6,40.95,17.54,59.55
132,Malvern,42,28.85,35.61,17.24,55.8
133,Centennial Scarborough,43,20.1,54.74,15.93,59.4
134,Highland Creek,43,24.9,46.23,16.23,55.8
135,Morningside,43,26.82,39.04,18.92,54.6
136,West Hill,43,26.25,34.48,18.89,51.85
137,Woburn,43,26.19,41.22,14.99,52.1
138,Eglinton East,43,28.2,35.69,16.51,53.2
139,Scarborough Village,43,25.83,38.28,15.73,50.4
140,Guildwood,43,22.25,51.05,15.9,55.1
