time_id,hour,day,month,year,day_of_week
245,11,25,12,2013,4
246,10,15,2,2014,7
247,1,1,2,2014,7
248,6,1,2,2014,7
249,17,16,3,2014,1
250,9,8,1,2014,4
251,20,1,1,2014,4
252,12,17,2,2014,2
253,0,6,5,2014,3
254,18,6,5,2014,3
255,8,31,5,2014,7
256,12,31,5,2014,7
257,19,31,5,2014,7
258,23,30,6,2014,2
259,1,6,7,2014,1
260,3,6,7,2014,1
261,7,6,7,2014,1
262,10,6,7,2014,1
263,16,6,7,2014,1
264,19,6,7,2014,1
265,23,3,1,2014,6
266,13,11,1,2014,7
267,7,1,1,2013,3
268,17,6,2,2014,5
269,11,22,2,2014,7
270,10,7,5,2014,4
271,2,3,1,2014,6
272,0,11,1,2014,7
273,1,11,1,2014,7
274,3,11,1,2014,7
275,1,20,1,2014,2
276,9,20,1,2014,2
277,11,21,1,2014,3
278,21,21,1,2014,3
279,18,22,1,2014,4
280,0,22,1,2014,4
281,19,22,1,2014,4
282,12,1,12,2012,7
283,11,7,5,2014,4
284,0,20,5,2014,3
285,18,20,5,2014,3
286,19,20,5,2014,3
287,19,6,6,2014,6
288,16,20,5,2014,3
289,20,25,7,2014,6
290,1,26,7,2014,7
291,2,26,7,2014,7
292,10,26,7,2014,7
293,15,26,7,2014,7
294,17,26,7,2014,7
295,2,25,7,2014,6
296,0,11,8,2014,2
297,13,11,8,2014,2
298,19,11,8,2014,2
299,22,11,8,2014,2
300,12,11,8,2014,2
301,19,27,8,2014,4
302,8,27,8,2014,4
303,9,31,3,2013,1
304,16,19,4,2014,7
305,23,26,4,2014,7
306,13,2,6,2014,2
307,20,2,6,2014,2
308,14,3,6,2014,3
309,22,2,6,2014,2
310,11,11,6,2014,4
311,9,16,6,2014,2
312,14,16,6,2014,2
313,11,20,6,2014,6
314,15,20,6,2014,6
315,18,20,6,2014,6
316,4,2,7,2014,4
317,12,2,7,2014,4
318,21,2,7,2014,4
319,23,19,7,2014,7
320,4,9,2,2014,1
321,9,18,2,2014,3
322,11,26,2,2014,4
323,16,26,2,2014,4
324,17,26,2,2014,4
325,14,1,3,2014,7
326,20,7,3,2014,6
327,16,10,3,2014,2
328,19,10,3,2014,2
329,15,10,3,2014,2
330,22,10,3,2014,2
331,23,17,3,2014,2
332,12,19,3,2014,4
333,22,7,1,2014,3
334,12,15,2,2014,7
335,15,1,2,2014,7
336,23,17,1,2014,6
337,19,13,6,2014,6
338,11,17,1,2014,6
339,21,7,1,2014,3
340,11,9,1,2014,5
341,0,16,1,2014,5
342,2,16,1,2014,5
343,17,16,1,2014,5
344,19,16,1,2014,5
345,10,18,1,2014,7
346,3,18,1,2014,7
347,18,18,1,2014,7
348,14,23,1,2014,5
349,20,24,1,2014,6
350,3,7,2,2014,6
351,15,6,1,2014,2
352,7,6,1,2014,2
353,2,14,1,2014,3
354,11,14,1,2014,3
355,19,14,1,2014,3
356,0,31,1,2014,6
357,15,11,2,2014,3
358,17,11,2,2014,3
359,19,11,2,2014,3
360,21,11,2,2014,3
361,1,19,2,2014,4
362,17,19,2,2014,4
363,12,19,2,2014,4
364,3,23,2,2014,1
365,11,23,2,2014,1
366,1,28,2,2014,6
367,4,28,2,2014,6
368,15,3,3,2014,2
369,12,3,3,2014,2
370,14,26,2,2014,4
371,18,7,2,2014,6
372,1,9,2,2014,1
373,13,19,12,2013,5
374,1,2,5,2014,6
375,22,27,4,2014,1
376,1,26,4,2014,7
377,21,18,4,2014,6
378,16,9,4,2014,4
379,23,9,4,2014,4
380,2,7,4,2014,2
381,23,9,2,2014,1
382,20,24,3,2014,2
383,17,18,1,2014,7
384,4,18,1,2014,7
385,12,9,1,2014,5
386,20,5,4,2014,7
387,15,11,1,2014,7
388,20,3,1,2014,6
389,2,19,1,2014,1
390,22,19,1,2014,1
391,2,21,1,2014,3
392,12,19,1,2014,1
393,10,11,9,2013,4
394,10,21,1,2014,3
395,4,21,1,2014,3
396,8,22,1,2014,4
397,15,22,1,2014,4
398,17,21,1,2014,3
399,11,6,2,2014,5
400,15,6,2,2014,5
401,16,6,2,2014,5
402,13,12,2,2014,4
403,1,14,2,2014,6
404,10,14,2,2014,6
405,13,20,2,2014,5
406,18,20,2,2014,5
407,19,21,2,2014,6
408,4,3,1,2014,6
409,9,3,1,2014,6
410,10,11,1,2014,7
411,22,11,1,2014,7
412,14,20,1,2014,2
413,1,21,1,2014,3
414,8,21,1,2014,3
415,19,21,1,2014,3
416,16,15,1,2014,4
417,21,6,4,2014,1
418,15,15,1,2014,4
419,18,4,4,2014,6
420,13,2,9,2013,2
421,0,10,1,2014,6
422,12,1,1,2014,4
423,12,8,1,2014,4
424,1,1,1,2014,4
425,3,1,1,2014,4
426,20,16,2,2014,1
427,10,16,2,2014,1
428,20,15,2,2014,7
429,1,15,2,2014,7
430,12,1,2,2014,7
431,10,15,1,2014,4
432,2,15,1,2014,4
433,13,10,1,2014,6
434,16,8,1,2014,4
435,15,8,1,2014,4
436,2,1,1,2014,4
437,7,1,1,2014,4
438,20,8,5,2014,5
439,7,25,4,2014,6
440,20,17,4,2014,5
441,8,8,4,2014,3
442,17,8,5,2014,5
443,12,2,3,2014,1
444,0,15,1,2014,4
445,2,5,4,2014,7
446,19,5,4,2014,7
447,4,12,4,2014,7
448,20,12,4,2014,7
449,14,12,4,2014,7
450,12,21,4,2014,2
451,2,4,5,2014,1
452,16,6,5,2014,3
453,10,6,5,2014,3
454,14,23,12,2013,2
455,21,22,1,2014,4
456,23,22,2,2014,7
457,3,23,3,2014,1
458,14,15,4,2014,3
459,18,5,4,2014,7
460,18,31,5,2014,7
461,11,3,1,2014,6
462,18,19,3,2014,4
463,4,25,12,2013,4
464,15,7,4,2014,2
465,23,27,4,2014,1
466,20,16,1,2014,5
467,23,16,1,2014,5
468,23,24,1,2014,6
469,9,7,2,2014,6
470,9,8,2,2014,7
471,18,8,2,2014,7
472,19,18,2,2014,3
473,0,7,1,2014,3
474,10,1,3,2014,7
475,10,10,3,2014,2
476,2,27,3,2014,5
477,17,7,4,2014,2
