event_id,make,model,bike_type,colour,speed,cost,status
800085,SCHWINN        ,LAGUNA         ,SC,BLK   ,1,1800,STOLEN
800086,UNKNOWN        ,,OT,BLKBGE,21,700,STOLEN
800087,MARIN OR MARINO,VALENCIA       ,RC,REDSIL,18,1500,STOLEN
800088,JAMIS          ,COMMUTER 2     ,MT,GRY   ,8,600,STOLEN
800089,SCOTT          ,SCALE 50       ,MT,WHIBLK,21,1500,STOLEN
800090,OTHER          ,GRANTURIMO     ,RG,YEL   ,1,1000,STOLEN
800091,HARO           ,,MT,GRY   ,18,,STOLEN
800092,SPECIALIZED    ,CARVE          ,MT,BLKWHI,21,1499.95,STOLEN
800093,GIANT          ,ROAM 2         ,MT,SILWHI,21,529.95,STOLEN
800094,ROCKY MOUNTAIN ,CUSTOM BUILD   ,MT,WHIBLK,27,7500,STOLEN
800095,OTHER          ,DEKA           ,BM,TRQ   ,1,,STOLEN
800096,OTHER          ,VIENNA 72V     ,EL,BLK   ,1,1478,STOLEN
800097,SUPERCYCLE     ,JS.014         ,MT,BLKRED,21,200,STOLEN
800098,DEVINCI        ,HYBRIDE        ,MT,RED   ,10,500,STOLEN
800099,FIORI          ,,OT,BLUWHI,10,400,STOLEN
800100,DEVINCI        ,CHAMELEON      ,MT,BLU   ,24,,STOLEN
800101,LOUIS GARNEAU  ,HARMONY        ,RG,WHI   ,21,1000,UNKNOWN
800102,GIANT          ,ROAM           ,OT,BLKBLU,24,600,STOLEN
800103,GIANT          ,OCR            ,RC,BLU   ,16,1500,STOLEN
800104,GIANT          ,YUKON          ,RG,DBL   ,21,600,STOLEN
800105,CCM            ,PRESTO         ,RC,,21,370,STOLEN
800106,TEK            ,710015BLACK-SL ,BM,BLK   ,18,1000,STOLEN
800107,K2             ,TREELINE       ,OT,PLE   ,24,500,STOLEN
800108,EMMO           ,GT5            ,EL,LBL   ,1,1300,STOLEN
800109,GI             ,ANYROAD        ,MT,BLK   ,99,,STOLEN
800110,RAPTOR         ,SCOOTER        ,SC,BLK   ,1,1200,STOLEN
800111,GIANT          ,RAPID 2        ,TO,BLUWHI,21,900,STOLEN
800112,OTHER          ,,MT,BRNGLD,21,400,STOLEN
800113,TREK           ,820,MT,,18,500,STOLEN
800114,OTHER          ,PUREFIX        ,RG,BLU   ,1,600,STOLEN
800115,RALEIGH        ,UNKNOWN        ,MT,BLK   ,10,300,STOLEN
800116,CCM            ,29,MT,BLK   ,21,,STOLEN
800117,OTHER          ,STINGER        ,EL,RED   ,1,1000,STOLEN
800118,OTHER          ,UNKNOWN        ,OT,SIL   ,27,630,STOLEN
800119,TREK           ,UNKNOWN        ,MT,BLU   ,18,300,STOLEN
800120,OTHER          ,UNKNOWN        ,RC,GRYONG,28,1000,STOLEN
800121,VAGABOND       ,VITA           ,MT,PLE   ,21,819,STOLEN
800122,NORCO          ,,MT,BLK   ,10,500,STOLEN
800123,RALEIGH        ,,MT,BLUWHI,18,250,STOLEN
800124,GHOST          ,,MT,BLK   ,21,670,STOLEN
800125,CCM            ,LEGACY         ,OT,,10,,STOLEN
800126,SUPERCYCLE     ,UNKNOWN        ,MT,BLKGRN,18,159.99,STOLEN
800127,FS             ,,MT,RED   ,10,100,STOLEN
800128,NORCO          ,UNKNOWN        ,MT,REDWHI,21,500,STOLEN
800129,OTHER          ,,MT,BLK   ,18,100,STOLEN
800130,AVIGO          ,BONE COLLECTOR ,BM,BLK   ,1,150,STOLEN
800131,CCM            ,,MT,,21,200,STOLEN
800132,OTHER          ,ECCLECTIC      ,OT,SIL   ,6,,STOLEN
800133,OTHER          ,,MT,REDWHI,18,,STOLEN
800134,SPECIALIZED    ,CROSS TRAIL    ,OT,GRY   ,12,839,STOLEN
800135,GIANT          ,XR21           ,MT,WHIRED,21,1000,STOLEN
800136,GIANT          ,ROAMX2         ,MT,,21,999,STOLEN
800137,SUPERCYCLE     ,,MT,RED   ,10,200,STOLEN
800138,SCHWINN        ,71-1240-2      ,FO,OTH   ,6,200,STOLEN
800139,DAYMAK         ,EAGLE          ,EL,GRN   ,0,900,STOLEN
800140,OTHER          ,VIA MONTEGA    ,OT,SIL   ,21,100,STOLEN
800141,TREK           ,FUEL EX 8      ,MT,,14,6000,STOLEN
800142,GIANT          ,TRANCE X2      ,MT,BLKBLU,30,3100,STOLEN
800143,SPECIALIZED    ,SIRRUS COMP    ,RC,GRYRED,18,1800,STOLEN
800144,OTHER          ,,MT,REDGRY,21,200,STOLEN
800145,OTHER          ,,OT,SILBLU,21,250,STOLEN
800146,MOLTEN         ,MONSTER        ,OT,BLUWHI,1,,STOLEN
800147,OTHER          ,,EL,PNK   ,1,750,STOLEN
800148,OTHER          ,E-BIKE         ,EL,WHI   ,0,1100,STOLEN
800149,MOUNTAIN       ,UNK            ,MT,BLK   ,18,300,STOLEN
800150,OTHER          ,SPECIALE       ,OT,GRY   ,1,1000,STOLEN
800151,SPECIALIZED    ,STINGER        ,EL,BLKWHI,5,800,STOLEN
800152,GIANT          ,ESCAPE 3       ,OT,BLKGRY,21,500,STOLEN
800153,GARRY FISHER   ,,MT,BLK   ,21,1300,STOLEN
800154,ROSS           ,BOLT           ,BM,BLKSIL,1,,UNKNOWN
800155,MARIN OR MARINO,,MT,BLK   ,21,500,STOLEN
800156,SPECIALIZED    ,ARIEL          ,OT,WHI   ,21,1000,STOLEN
800157,OTHER          ,,RG,BLKSIL,10,806.55,STOLEN
800158,OTHER          ,11 SEEK O M    ,RG,BLK   ,10,1101.05,STOLEN
800159,OTHER          ,,MT,BLUWHI,18,,STOLEN
800160,OTHER          ,,MT,,21,,STOLEN
800161,HEAD           ,HEAD           ,OT,RED   ,6,300,STOLEN
800162,FUJI           ,CAMBRIDGE      ,RG,BLK   ,8,2000,STOLEN
800163,OTHER          ,CITY CRUISER   ,RG,BLU   ,3,600,STOLEN
800164,TREK           ,,TO,BLU   ,18,800,STOLEN
800165,TREK           ,7300 INKWELL   ,OT,BLU   ,18,800,STOLEN
800166,BROADIE        ,,MT,GLDBRN,21,450,STOLEN
800167,CANNONDALE     ,JEKYLL         ,MT,REDWHI,24,3000,STOLEN
800168,RALEIGH        ,SPRITE         ,MT,BLK   ,21,300,STOLEN
800169,TREK           ,MADONE 6.2     ,MT,BLKRED,12,5000,STOLEN
800170,OTHER          ,CHOPPER        ,OT,OTH   ,1,100,STOLEN
800171,GIANT`         ,,MT,GRN   ,18,792,STOLEN
800172,EMMO           ,EMMO           ,EL,BLK   ,1,560,STOLEN
800173,OTHER          ,UNKNOWN        ,MT,BLK   ,18,88,STOLEN
800174,BIANCHI        ,SPORT SX       ,RC,LBL   ,12,250,STOLEN
800175,OTHER          ,MONACO         ,EL,BLK   ,1,1200,STOLEN
800176,PEUGOT         ,ROAD BIKE      ,RC,ONG   ,1,400,STOLEN
800177,UNKNOWN MAKE   ,,OT,,18,200,STOLEN
800178,CCM            ,,MT,WHI   ,10,450,STOLEN
800179,OTHER          ,,OT,BLUWHI,18,500,STOLEN
800180,EMMO           ,GT5            ,EL,BLK   ,0,500,UNKNOWN
800181,FUJI           ,UNKNOWN        ,MT,GRY   ,12,100,STOLEN
800182,CCM            ,MUD SLIDE      ,RG,ONG   ,15,,STOLEN
800183,UNKNOWN MAKE   ,NONE           ,OT,BLK   ,1,,STOLEN
800184,KHS            ,TR-101         ,RG,BLK   ,18,1200,STOLEN
800185,RALEIGH        ,U/K            ,RG,RED   ,21,600,STOLEN
800186,SCHWINN        ,,OT,RED   ,21,299,STOLEN
800187,CCM            ,,OT,SIL   ,0,300,STOLEN
800188,GIANT          ,ESCAPE 3       ,OT,,21,400,STOLEN
800189,CC             ,VANDAL24       ,MT,BLUWHI,21,,UNKNOWN
800190,OTHER          ,,MT,,18,600,RECOVERED
800191,GIANT          ,NRS COMP       ,MT,,21,9500,STOLEN
800192,UNKNOWN        ,UNKNOWN        ,EL,ONG   ,2,1200,STOLEN
800193,GLOBE          ,VIENNA 3       ,OT,BLK   ,18,900,STOLEN
800194,AMMO           ,30XL           ,EL,GLD   ,4,2700,STOLEN
800195,SPECIALIZED    ,CROSS TRAIL    ,MT,REDBLK,24,600,STOLEN
800196,UNKNOWN MAKE   ,U/K            ,EL,,5,900,STOLEN
800197,CANNONDALE     ,,MT,BLU   ,10,4000,STOLEN
800198,OTHER          ,WALMART        ,RG,BLU   ,5,160,STOLEN
800199,"KONA
          ",,MT,SIL   ,21,800,STOLEN
800200,CANNONDALE     ,QUICK 5        ,MT,BLK   ,21,900,STOLEN
800201,CANNONDALE     ,QUICK SI       ,MT,WHIPLE,21,900,STOLEN
800202,NONE           ,NONE           ,OT,BLU   ,0,,STOLEN
800203,RALEIGH        ,SUPERBE        ,OT,BRZGRN,1,400,STOLEN
800204,JAMIS          ,XCT            ,MT,LGR   ,27,1600,STOLEN
800205,CANNONDALE     ,"CADD9, R5000   ",MT,BLU   ,27,1800,STOLEN
800206,CANNONDALE     ,R6 CAAD9       ,MT,RED   ,18,1800,STOLEN
800207,VAGABOND       ,FOLDING BIKE   ,OT,WHIGRN,6,230,STOLEN
800208,NEXT           ,,MT,GRYGRN,18,110,STOLEN
800209,RALEIGH        ,UNKNOWN        ,OT,BLU   ,1,500,STOLEN
800210,OTHER          ,MASI CX        ,TO,BLK   ,1,1300,STOLEN
800211,CANNONDALE     ,CAAD4 R400     ,OT,DBL   ,1,640,STOLEN
800212,SPECIALIZED    ,SIRRUS         ,RG,,21,1000,STOLEN
800213,OTHER          ,FIXED GEAR     ,OT,WHI   ,1,,STOLEN
800214,UNKNOWN MAKE   ,,OT,,5,200,STOLEN
800215,CARRERA        ,UNKNOWN        ,OT,BLUGRY,1,500,STOLEN
800216,CANNONDALE     ,LEFTY          ,MT,LBL   ,27,500,STOLEN
800217,GIANT          ,ALIGHT 3       ,MT,WHI   ,7,588.7,STOLEN
800218,EMMO           ,,EL,REDBLK,1,900,STOLEN
800219,OT             ,UNKNOWN        ,MT,BLU   ,99,,UNKNOWN
800220,SUPERCYCLE     ,,MT,GRYBLU,0,200,RECOVERED
800221,KNIFE          ,COMPRESSION    ,OT,BLK   ,18,500,STOLEN
800222,PEUGEOT        ,,RG,,0,,STOLEN
800223,SPECIALIZED    ,EPIC           ,RG,PLE   ,11,1000,STOLEN
800224,TREK           ,,MT,BLK   ,21,600,STOLEN
800225,NORCO          ,,MT,BLU   ,21,600,STOLEN
800226,GARY FISHER    ,PIRAHNA        ,MT,RED   ,21,550,STOLEN
800227,SUPERCYCLE     ,,OT,BLU   ,3,,STOLEN
800228,SUPERCYCLE     ,,RG,RED   ,10,300,STOLEN
800229,OTHER          ,,RG,WHI   ,1,300,STOLEN
800230,OTHER          ,,RG,GRN   ,1,300,STOLEN
800231,OTHER          ,,BM,BLK   ,0,200,STOLEN
800232,NAKAMURA       ,UNKNOWN        ,MT,MRN   ,5,200,STOLEN
800233,SPECIALIZED    ,SIRRUS ELITE   ,MT,SILRED,5,829,STOLEN
800234,CCM            ,,OT,WHI   ,0,700,STOLEN
800235,RALEIGH        ,,MT,BLK   ,3,300,STOLEN
800236,CCM            ,,FO,WHI   ,1,400,STOLEN
800237,OTHER          ,1700 SERIES    ,OT,BLU   ,1,3041,STOLEN
800238,UNKNOWN MAKE   ,,RG,RED   ,0,100,STOLEN
800239,SPECIALIZED    ,HARD ROCK SPORT,MT,BLKRED,21,900,STOLEN
800240,"INFINITY
      ",SUPERIOR BRAVO ,MT,,21,250,STOLEN
800241,OTHER          ,,MT,YELBLK,21,150,STOLEN
800242,JAMIES         ,VENTURE SPORT  ,OT,GRY   ,16,639.99,STOLEN
800243,OTHER          ,,SC,MRN   ,1,2000,STOLEN
800244,ENNO           ,,EL,BLKGRY,1,1750,STOLEN
800245,TR             ,,MT,GRY   ,18,,STOLEN
800246,EMMO           ,ALIEN          ,EL,RED   ,2,1000,STOLEN
800247,OTHER          ,,MT,,12,,UNKNOWN
800248,UNKNOWN MAKE   ,SOUL           ,MT,,12,,RECOVERED
800249,GREEN KHS SOUL ,HYBRID         ,RG,,0,,UNKNOWN
800250,"KONA
          ",,OT,BLKWHI,18,800,STOLEN
800251,SUPERCYCLE     ,IMPULSE SE     ,MT,PNKSIL,10,,STOLEN
800252,"KONA
          ",,TO,BGE   ,18,800,STOLEN
800253,OTHER          ,ROUBAIX        ,RC,BLU   ,18,2000,STOLEN
800254,OTHER          ,RAZOR POCKET   ,SC,GRY   ,1,150,STOLEN
800255,SPECIALIZED    ,VITA           ,OT,BLU   ,18,1000,STOLEN
800256,GIANT          ,SEEK2          ,OT,BLK   ,18,630,STOLEN
800257,EMMO           ,,EL,WHI   ,3,1121,STOLEN
800258,"INFINITY
      ",,OT,GLDSIL,21,300,STOLEN
800259,"INFINITY
      ",,MT,SIL   ,21,159,STOLEN
800260,CCM            ,,MT,BLK   ,12,200,STOLEN
800261,GIANT          ,RAPID 2        ,MT,BLUWHI,21,1400,STOLEN
800262,"KONA
          ",DOOR PRIDE     ,OT,BLU   ,1,850,STOLEN
800263,JAMIS          ,,TO,BLUBLK,1,450,STOLEN
800264,OTHER          ,BMC            ,BM,,18,5199,STOLEN
800265,SPECIALIZED    ,ALLEZ          ,RC,REDWHI,10,1000,STOLEN
800266,EVERYDAY       ,COMFORT BIKE   ,RG,WHI   ,21,,STOLEN
800267,NEXT           ,BREAK POINT    ,MT,RED   ,21,0,STOLEN
800268,OTHER          ,,MT,,1,185,STOLEN
800269,OTHER          ,FORTRESS       ,SC,RED   ,1,3000,STOLEN
800270,SCHWINN        ,,FO,BLU   ,1,400,RECOVERED
800271,UNKNOWN        ,,MT,YEL   ,0,,STOLEN
800272,CANNONDALE     ,SL             ,MT,REDWHI,24,,STOLEN
800273,CANNONDALE     ,F4             ,MT,BLKWHI,24,,STOLEN
800274,UNKNOWN MAKE   ,,MT,,12,,STOLEN
800275,SCOTT          ,SPORTSTER      ,OT,,12,,UNKNOWN
800276,ARGON 18       ,E-80           ,OT,BLK   ,5,1581.99,STOLEN
800277,SCOTT          ,SPARK          ,OT,,5,3000,STOLEN
800278,FELT           ,F-75           ,OT,BLK   ,5,1449.99,STOLEN
800279,OTHER          ,STATE-ELDORAD0 ,OT,WHIGLD,5,599.99,STOLEN
800280,GIANT          ,TALON 27.5 5   ,OT,BLKGRN,5,579,STOLEN
800281,OTHER          ,,MT,RED   ,18,100,STOLEN
800282,TREK           ,,RC,BLU   ,10,1152.77,STOLEN
800283,GT             ,,RG,ONG   ,10,400,STOLEN
800284,THIN BLUE LINE ,DUSTER         ,MT,BLU   ,18,700,STOLEN
800285,UNKNOWN MAKE   ,U/K            ,MT,BLK   ,24,710,STOLEN
800286,GIANT          ,,OT,WHI   ,1,400,STOLEN
800287,DEVINCI        ,,MT,BLU   ,24,150,STOLEN
800288,RALEIGH        ,,MT,PLE   ,18,400,STOLEN
800289,CANNONDALE     ,SCAPEL         ,MT,GRYWHI,0,6000,STOLEN
800290,CANNONDALE     ,,RG,BLK   ,0,1000,STOLEN
800291,GIANT          ,UNK            ,MT,BLKRED,18,1000,STOLEN
800292,SUPERCYCLE     ,18 SPEED       ,MT,RED   ,18,300,UNKNOWN
800293,UNKNOWN MAKE   ,,OT,,0,,STOLEN
800294,LINUS          ,ROADSTER SPIRIT,OT,CPRONG,3,730,STOLEN
800295,CCM            ,UNKNOWN        ,MT,WHI   ,15,,STOLEN
800296,GIANT          ,DEFY           ,RC,BLU   ,15,1700,STOLEN
800297,CCM            ,REVOLUTION     ,MT,BLUWHI,5,,STOLEN
800298,ARGON 18       ,KRYPTON        ,RC,BLKRED,18,1400,STOLEN
