event_id,make,model,bike_type,colour,speed,cost,status
191200,MARIN OR MARINO,VALENCIA,RC,REDSIL,18,1500,STOLEN
191201,GI,BOWERY FMX,RC,WHI,1,1395,STOLEN
191202,SCHWINN,MURANO,MT,BLKSIL,24,350,STOLEN
191203,NORCO,BUSH PILOT,MT,GRYSIL,21,600,STOLEN
191204,SHCWINN,HYBRID,MT,BLK,24,450,STOLEN
191205,RAPTOR,,EL,RED,1,1000,STOLEN
191206,DIAMONDBACK,HYBRID,OT,MRN,21,538,STOLEN
191207,EMMO,5,EL,ONGBLK,1,380,STOLEN
191208,PE,HYBRID,OT,TRQ,12,250,STOLEN
191209,DYNACRAFT,8204-88CT,MT,RED,7,130,STOLEN
191210,SPECIALIZED,ROUBAIX,RC,SIL,27,1050,STOLEN
191211,SCHWINN,LAGUNA,SC,BLK,1,1800,STOLEN
191212,RA,,MT,BGE,12,500,STOLEN
191213,TR,7300,TO,WHI,15,1000,STOLEN
191214,UNKNOWN,,OT,BLKBGE,21,700,STOLEN
191215,JAMIS,COMMUTER 2,MT,GRY,8,600,STOLEN
191216,DIAMONDBACK,MIRAMAR,OT,,21,150,STOLEN
191217,SU,,MT,BLU,18,112.99,STOLEN
191218,SCOTT,SCALE 50,MT,WHIBLK,21,1500,STOLEN
191219,OTHER,GRANTURIMO,RG,YEL,1,1000,STOLEN
191220,OT,ABOUT TOWN,OT,LBL,24,500,STOLEN
191221,HARO,,MT,GRY,18,,STOLEN
191222,SPECIALIZED,CARVE,MT,BLKWHI,21,1499.95,STOLEN
191223,GIANT,ROAM 2,MT,SILWHI,21,529.95,STOLEN
191224,ROCKY MOUNTAIN,CUSTOM BUILD,MT,WHIBLK,27,7500,STOLEN
191225,OTHER,DEKA,BM,TRQ,1,,STOLEN
191226,OTHER,VIENNA 72V,EL,BLK,1,1478,STOLEN
191227,SUPERCYCLE,JS.014,MT,BLKRED,21,200,STOLEN
191228,DEVINCI,HYBRIDE,MT,RED,10,500,STOLEN
191229,OTHER,SUNDAY WAVE,BM,BLU,12,1200,STOLEN
191230,FIORI,,OT,BLUWHI,10,400,STOLEN
191231,DEVINCI,CHAMELEON,MT,BLU,24,,STOLEN
191232,GIANT,ACAPULCO,MT,GRN,21,550,STOLEN
191233,LOUIS GARNEAU,HARMONY,RG,WHI,21,1000,UNKNOWN
191234,CCM,PRESTO,RC,,21,370,STOLEN
191235,FUJI,ROUBAIN,OT,RED,21,2000,STOLEN
191236,TREK,MADONE,OT,BLK,21,3500,STOLEN
191237,CC,PRESTO,RC,TRQ,21,370,STOLEN
191238,GIANT,ROAM,OT,BLKBLU,24,600,STOLEN
191239,GIANT,OCR,RC,BLU,16,1500,STOLEN
191240,GIANT,YUKON,RG,DBL,21,600,STOLEN
191241,RALEIGH,U/K,RG,RED,21,600,STOLEN
191242,TEK,710015BLACK-SL,BM,BLK,18,1000,STOLEN
191243,K2,TREELINE,OT,PLE,24,500,STOLEN
191244,EMMO,GT5,EL,LBL,1,1300,STOLEN
191245,TR,7300FX,TO,LBL,21,700,STOLEN
191246,CC,PRESTO,RC,GRY,21,350,STOLEN
191247,GI,ANYROAD,MT,BLK,99,,STOLEN
191248,UK,,MT,OTH,21,250,STOLEN
191249,OT,,RC,WHI,1,400,STOLEN
191250,RAPTOR,SCOOTER,SC,BLK,1,1200,STOLEN
191251,GIANT,RAPID 2,TO,BLUWHI,21,900,STOLEN
191252,MOUNTAIN,UNK,MT,BLK,18,300,STOLEN
191253,OTHER,,MT,BRNGLD,21,400,STOLEN
191254,TREK,820,MT,,18,500,STOLEN
191255,OTHER,PUREFIX,RG,BLU,1,600,STOLEN
191256,OT,,TO,BLK,1,1000,STOLEN
191257,UK,,FO,RED,6,,UNKNOWN
191258,RALEIGH,UNKNOWN,MT,BLK,10,300,STOLEN
191259,CCM,29,MT,BLK,21,,STOLEN
191260,OTHER,STINGER,EL,RED,1,1000,STOLEN
191261,OTHER,UNKNOWN,OT,SIL,27,630,STOLEN
191262,UK,SE DRAFT,OT,BLK,1,400,STOLEN
191263,RA,,RC,BLK,1,1200,STOLEN
191264,TREK,UNKNOWN,MT,BLU,18,300,STOLEN
191265,OTHER,UNKNOWN,RC,GRYONG,28,1000,STOLEN
191266,WISPER,805FE,EL,SIL,6,1300,STOLEN
191267,VAGABOND,VITA,MT,PLE,21,819,STOLEN
191268,NORCO,,MT,BLK,10,500,STOLEN
191269,RALEIGH,,MT,BLUWHI,18,250,STOLEN
191270,OTHER,UNKNOWN,MT,BLK,18,88,STOLEN
191271,KH,KHS SOUL,RG,BLK,1,400,STOLEN
191272,GHOST,,MT,BLK,21,670,STOLEN
191273,CCM,LEGACY,OT,,10,,STOLEN
191274,JAMIS,,MT,,21,700,STOLEN
191275,DEVINCI,FV3961411,MT,BLK,7,900,STOLEN
191276,EMMO,H5,EL,BLK,1,1100,STOLEN
191277,SUPERCYCLE,UNKNOWN,MT,BLKGRN,18,159.99,STOLEN
191278,OT,,RG,GRN,21,300,STOLEN
191279,FS,,MT,RED,10,100,STOLEN
191280,OT,,RG,BRN,3,200,STOLEN
191281,NORCO,UNKNOWN,MT,REDWHI,21,500,STOLEN
191282,OTHER,,MT,BLK,18,100,STOLEN
191283,FORTRESS,1700,SC,BLK,1,4300,STOLEN
191284,TR,,MT,PNK,60,500,STOLEN
191285,TR,KID'S FX BOY'S,MT,BLK,60,520,STOLEN
191286,AVIGO,BONE COLLECTOR,BM,BLK,1,150,STOLEN
191287,CC,VANDEL,RG,WHI,6,175,STOLEN
191288,CCM,,MT,,21,200,STOLEN
191289,GT,OUTBACK,MT,BLK,15,0,STOLEN
191290,OTHER,ECCLECTIC,OT,SIL,6,,STOLEN
191291,OTHER,,MT,REDWHI,18,,STOLEN
191292,SCHWINN,71-1240-2,FO,OTH,6,200,STOLEN
191293,TREK,FUEL EX 8,MT,,14,6000,STOLEN
191294,SPECIALIZED,CROSS TRAIL,OT,GRY,12,839,STOLEN
191295,GIANT,XR21,MT,WHIRED,21,1000,STOLEN
191296,GIANT,ROAMX2,MT,,21,999,STOLEN
191297,SUPERCYCLE,,MT,RED,10,200,STOLEN
191298,OT,,MT,WHI,18,78,STOLEN
191299,DAYMAK,EAGLE,EL,GRN,0,900,STOLEN
191300,OTHER,VIA MONTEGA,OT,SIL,21,100,STOLEN
191301,GIANT,TRANCE X2,MT,BLKBLU,30,3100,STOLEN
191302,MOLTEN,MONSTER,OT,BLUWHI,1,,STOLEN
191303,NO,LRT EXPRESS,MT,BLK,21,0,STOLEN
191304,NO,VFR 3,OT,WHI,27,600,STOLEN
191305,GI,TRANCE X2,MT,BLK,21,3000,STOLEN
191306,SPECIALIZED,SIRRUS COMP,RC,GRYRED,18,1800,STOLEN
191307,OTHER,,MT,REDGRY,21,200,STOLEN
191308,OTHER,,OT,SILBLU,21,250,STOLEN
191309,OTHER,,EL,PNK,1,750,STOLEN
191310,OTHER,E-BIKE,EL,WHI,0,1100,STOLEN
191311,OTHER,,OT,BLUWHI,18,500,STOLEN
191312,GI,,RC,OTH,24,700,STOLEN
191313,KH,FLITE,TO,RED,12,900,STOLEN
191314,OTHER,SPECIALE,OT,GRY,1,1000,STOLEN
191315,OT,ORPHEUS,OT,BLK,24,800,STOLEN
191316,UK,,EL,ONG,32,1200,STOLEN
191317,NO,6.1,MT,WHI,24,500,STOLEN
191318,SPECIALIZED,STINGER,EL,BLKWHI,5,800,STOLEN
191319,TR,7.4 FX,RG,GRY,21,900,STOLEN
191320,GIANT,ESCAPE 3,OT,BLKGRY,21,500,STOLEN
191321,GF,HYBRID HARDTAIL,MT,LBL,24,800,STOLEN
191322,GARRY FISHER,,MT,BLK,21,1300,STOLEN
191323,ROSS,BOLT,BM,BLKSIL,1,,UNKNOWN
191324,MARIN OR MARINO,,MT,BLK,21,500,STOLEN
191325,BIANCHI,SPORT SX,RC,LBL,12,250,STOLEN
191326,SPECIALIZED,ARIEL,OT,WHI,21,1000,STOLEN
191327,KO,JAKE - 2005,OT,RED,16,0,STOLEN
191328,OTHER,,RG,BLKSIL,10,806.55,STOLEN
191329,OTHER,11 SEEK O M,RG,BLK,10,1101.05,STOLEN
191330,OTHER,,MT,BLUWHI,18,,STOLEN
191331,EVERYDAY,CHEEPSOOT,FO,WHI,6,189,STOLEN
191332,SIRRIUS,SPECIALIZED HYB,RG,BLK,10,700,STOLEN
191333,UK,,MT,GRY,21,0,STOLEN
191334,UK,,RG,SIL,10,300,STOLEN
191335,OTHER,,MT,,21,,STOLEN
191336,TREK,MADONE 6.2,MT,BLKRED,12,5000,STOLEN
191337,HEAD,HEAD,OT,RED,6,300,STOLEN
191338,RALEIGH,SPRITE,MT,BLK,21,300,STOLEN
191339,FUJI,CAMBRIDGE,RG,BLK,8,2000,STOLEN
191340,OTHER,CITY CRUISER,RG,BLU,3,600,STOLEN
