,timeID,hour,day,month,year,dayofweek
61727,114233,17,7,7,2018,7
61728,114234,15,9,7,2018,2
61729,114235,21,18,8,2018,7
61730,114236,23,21,4,2018,7
61731,114237,12,6,9,2018,5
61732,114238,09,6,11,2018,3
61733,114239,17,9,11,2018,6
61734,114240,04,13,11,2018,3
61735,114241,11,20,10,2018,7
61736,114242,11,9,11,2018,6
61737,114243,19,25,10,2018,5
61738,114244,12,10,11,2018,7
61739,114245,05,14,11,2018,4
61740,114246,15,11,11,2018,1
61741,114247,10,9,11,2018,6
61742,114248,10,16,11,2018,6
61743,114249,06,9,11,2018,6
61744,114250,16,17,11,2018,7
61745,114251,11,13,11,2018,3
61746,114252,17,16,11,2018,6
61747,114253,11,28,10,2018,1
61748,114254,00,17,11,2018,7
61749,114255,20,8,11,2018,5
61750,114256,23,19,11,2018,2
61751,114257,07,15,11,2018,5
61752,114258,12,18,11,2018,1
61753,114259,17,18,11,2018,1
61754,114260,18,21,11,2018,4
61755,114261,23,22,11,2018,5
61756,114264,10,22,11,2018,5
61757,114265,16,21,11,2018,4
61758,114266,22,26,11,2018,2
61759,114267,21,26,11,2018,2
61760,114268,19,8,10,2018,2
61761,114269,21,24,11,2018,7
61762,114270,05,4,2,2018,1
61763,114271,13,4,2,2018,1
61764,114272,17,26,11,2018,2
61765,114273,18,18,12,2017,2
61766,114274,02,29,11,2018,5
61767,114277,00,1,8,2018,4
61768,114278,14,2,12,2018,1
61769,114280,22,29,11,2018,5
61770,114281,12,26,11,2018,2
61771,114283,08,4,12,2018,3
61772,114284,11,5,12,2018,4
61773,114285,22,6,11,2018,3
61774,114287,06,9,12,2018,1
61775,114288,05,7,12,2018,6
61776,114289,12,25,11,2018,1
61777,114290,16,10,12,2018,2
61778,114291,18,14,11,2018,4
61779,114292,05,5,2,2018,2
61780,114293,23,10,12,2018,2
61781,114294,10,11,12,2018,3
61782,114295,23,12,12,2018,4
61783,114297,11,1,2,2018,5
61784,114299,04,16,12,2018,1
61785,114301,22,16,12,2018,1
61786,114302,15,14,12,2018,6
61787,114303,08,18,12,2018,3
61788,114306,00,19,12,2018,4
61789,114307,18,18,12,2018,3
61790,114308,20,25,1,2018,5
61791,114309,14,6,2,2018,3
61792,114310,15,20,12,2018,5
61793,114311,02,22,12,2018,7
61794,114314,19,18,12,2018,3
61795,114315,22,22,12,2018,7
61796,114316,23,29,12,2018,7
61797,114317,00,22,12,2018,7
61798,114319,02,25,12,2018,3
61799,114320,13,22,12,2018,7
61800,114321,00,28,12,2018,6
61801,114323,12,15,9,2018,7
61802,114326,08,29,12,2018,7
61803,114327,18,21,12,2018,6
61804,114328,12,2,1,2018,3
61805,114329,08,6,2,2018,3
61806,114330,07,5,2,2018,2
61807,114332,16,15,1,2018,2
61808,114334,12,17,12,2017,1
61809,114335,05,16,9,2018,1
61810,114336,18,27,7,2018,6
61811,114337,18,28,1,2018,1
61812,114338,08,19,8,2018,1
61813,114339,19,9,7,2018,2
61814,114340,21,14,9,2018,6
61815,114341,15,30,7,2018,2
61816,114342,16,27,2,2018,3
61817,114344,00,15,4,2018,1
61818,114347,16,30,7,2018,2
61819,114348,16,2,7,2018,2
61820,114349,10,31,7,2018,3
61821,114351,02,21,4,2018,7
61822,114352,09,31,3,2017,6
61823,114353,17,24,4,2018,3
61824,114354,11,23,4,2018,2
61825,114355,09,21,4,2018,7
61826,114356,14,25,4,2018,4
61827,114357,20,26,4,2018,5
61828,114358,00,27,4,2018,6
61829,114360,14,2,4,2018,2
61830,114361,17,27,4,2018,6
61831,114362,04,13,1,2018,7
61832,114365,19,29,4,2018,1
61833,114366,16,16,4,2018,2
61834,114367,20,29,4,2018,1
61835,114368,17,30,4,2018,2
61836,114371,11,2,5,2018,4
61837,114372,16,24,4,2018,3
61838,114373,03,4,5,2018,6
61839,114374,21,4,5,2018,6
61840,114375,10,27,4,2018,6
61841,114376,00,26,4,2018,5
61842,114379,21,5,5,2018,7
61843,114380,15,5,5,2018,7
61844,114381,16,5,5,2018,7
61845,114382,15,4,5,2018,6
61846,114384,02,11,2,2018,1
61847,114385,09,8,5,2018,3
61848,114387,13,9,5,2018,4
61849,114388,14,9,5,2018,4
61850,114390,00,17,12,2017,1
61851,114393,20,9,5,2018,4
61852,114394,15,13,1,2018,7
61853,114395,07,12,5,2018,7
61854,114396,15,12,5,2018,7
61855,114397,20,11,5,2018,6
61856,114399,12,13,5,2018,1
61857,114400,18,12,5,2018,7
61858,114401,14,12,5,2018,7
61859,114402,20,13,5,2018,1
61860,114403,11,9,5,2018,4
