event_id,make,model,bike_type,colour,speed,cost,status
800899,GIANT,ROAM 2,OT,WHISIL,9,550,STOLEN
801459,GI,TRANSEND,RG,GRY,24,0,STOLEN
801460,CA,SYNAPSE,RC,BLU,10,900,STOLEN
801746,SU,SC1800,MT,RED,18,99,STOLEN
801503,OT,AWOL,MT,BLK,10,1800,STOLEN
800483,NEXT,,MT,WHIBLK,18,200,STOLEN
800484,CHARGE,GRATER,OT,BLK,8,900,STOLEN
800577,EMMO,AVENGER,EL,BRN,3,800,STOLEN
801820,CR,OCTANE,MT,RED,21,0,STOLEN
801821,SU,700CC TEMPO,RG,YEL,21,189.99,STOLEN
801822,GT,AVALANCHE 3.0,MT,DBL,24,550,STOLEN
801823,OT,VENGE PRO,RC,WHI,10,4600,STOLEN
803032,OT,,RG,BGE,3,880,STOLEN
801269,OTHER,UNKNOWN,MT,GRN,10,200,STOLEN
801270,OTHER,CUSTOM,SC,BLK,32,500,STOLEN
801240,OTHER,STINGER,EL,WHI,30,850,STOLEN
801986,EM,,EL,GRN,32,900,STOLEN
802141,NO,,RG,BLU,16,120,STOLEN
801683,OT,CITY,TO,SIL,18,0,STOLEN
802134,GI,TCX2 (2010),OT,BLU,9,1019,STOLEN
801252,EMMO,,EL,BLK,30,1500,STOLEN
801215,SUPERCYCLE,,MT,,10,,STOLEN
801983,UK,SINGLE SPEED,RG,BLK,1,600,STOLEN
800663,OTHER,,MT,BLK,10,500,STOLEN
800664,OTHER,,MT,MRN,10,500,STOLEN
801253,MARIN OR MARINO,NOVATO,MT,SILBLK,27,700,STOLEN
801308,UNKNOWN MAKE,,MT,GRNWHI,12,100,STOLEN
800610,RALEIGH,RECORD,OT,WHI,12,600,STOLEN
800611,SPECIALIZED,ROAD,OT,BLKRED,18,719,STOLEN
800680,JAMIS,VENTURA SPORT,OT,BLK,21,,STOLEN
801786,UK,,MT,PLE,8,0,STOLEN
801787,SC,04S087 071-1379,OT,BLK,24,220,STOLEN
800616,TREK,,MT,BLK,21,600,STOLEN
803031,RA,,RG,WHI,6,,STOLEN
802344,OT,REMUS,RG,BRN,1,,STOLEN
802345,OT,,RG,GRN,5,,STOLEN
802346,RA,,RG,BLK,3,500,STOLEN
802740,OT,,MT,DGR,18,,STOLEN
802741,OT,,MT,PLE,18,,STOLEN
802742,CA,H500,RG,RED,18,1200,STOLEN
802755,UK,STUMP JUMPER FS,MT,,11,4500,STOLEN
802188,ROCKY MOUNTAIN,TRAIL HEAD,MT,BRN,21,1400,STOLEN
802189,OTHER,TAILWHIP,BM,BLK,1,150,STOLEN
802232,RALEIGH,,MT,GRY,21,200,STOLEN
800985,RALEIGH,,MT,YEL,1,,STOLEN
801875,GITANE,,RC,GRNYEL,6,500,STOLEN
801876,TRIUMPH,,RC,RED,6,,STOLEN
801665,NO,,MT,,18,250,STOLEN
800733,OTHER,MIXTE,RG,CRM,3,800,STOLEN
800614,SPECIALIZED,PRO CARBON,RC,BLKRED,20,6789,STOLEN
803011,UK,,MT,BLU,24,,STOLEN
802513,RA,TRIUMPH,MT,DBL,18,200,STOLEN
802908,OT,DENALI,RC,BLK,21,200,STOLEN
800955,SUPERCYCLE,,MT,BLU,14,300,UNKNOWN
802137,CA,SLICE,RC,WHI,20,2399,STOLEN
801229,GIMELLY,,EL,RED,1,750,STOLEN
802139,UK,,RG,ONG,10,2000,STOLEN
801078,SPECIALIZED,HARDROCK DISC,OT,BLKGRY,1,680,STOLEN
801294,EAGLE,NONE,TA,MRN,1,1400,STOLEN
801113,SCHWINN,GRANDE 6.1,MT,ONG,21,600,STOLEN
801114,TR,"7.2 FX WSD 19""""",RG,PLE,21,600,STOLEN
801730,RA,,RG,GRY,18,400,STOLEN
801731,DB,,MT,RED,21,300,STOLEN
801995,BI,STRADA LX 12 SP,RG,WHI,12,0,STOLEN
800013,NORCO,OLYMPIA,OT,GRY,21,500,STOLEN
801221,GIANT,YUKON,MT,SILBLU,21,150,STOLEN
801313,SPECIALIZED,500-XY481206202,EL,BLUWHI,40,1000,STOLEN
801314,NORCO,MALAHAT,OT,BLK,24,600,STOLEN
801965,GI,ESCAPE 1,RG,GRY,28,750,STOLEN
800301,CANNONDALE,"CADD9, R5000",MT,BLU,27,1800,STOLEN
800302,CANNONDALE,R6 CAAD9,MT,RED,18,1800,STOLEN
800303,NO,,RG,BLK,1,450,STOLEN
800304,OT,CAFE 3,RG,SIL,3,400,STOLEN
800519,CCM,21 SPEED,MT,WHI,21,240,STOLEN
800600,KHS,SOUL,MT,BLU,21,600,STOLEN
802544,CC,EXCELSIOR,RG,RED,21,300,STOLEN
800266,KHS,TR-101,RG,BLK,18,1200,STOLEN
800441,VITESSE,CUSTOM,RC,WHI,24,10000,STOLEN
801050,A-Z SOURCES,FREEDOM,SC,BLU,1,1500,STOLEN
802471,OT,BUZZ,MT,GRY,18,800,STOLEN
802472,OT,INTERNATIONAL,TO,BLU,18,0,STOLEN
802545,GI,ATX,MT,WHI,8,300,STOLEN
801959,RM,,MT,GRY,4,70,STOLEN
801281,KONA,COWAN,MT,WHI,8,500,STOLEN
801998,CC,STATIC,MT,BLK,21,399.99,STOLEN
800042,LI,VALETTA,EL,BLK,1,1600,STOLEN
800043,OT,,MT,BLK,21,0,STOLEN
802042,OT,ROADSTER CLASSI,OT,BLK,50,500,STOLEN
800882,CCM,,MT,BLK,21,,STOLEN
800883,OTHER,,OT,BLU,0,200,STOLEN
800860,NORCO,13 YORKVILLE,OT,BLU,21,685,STOLEN
802067,NO,NORCO VALENCE A,RC,BLU,10,800,STOLEN
800939,NAKAMURA,ROYAL 9.4,OT,YEL,21,260,STOLEN
800940,OTHER,MIXTE 8,OT,LGR,8,900,STOLEN
801404,SUPERCYCLE,,OT,YEL,10,,STOLEN
801405,OT,3SPD-BUILT IN L,OT,BLK,3,700,STOLEN
800865,SCHWINN,,MT,GRY,10,,STOLEN
801684,RM,,TO,BLK,24,1200,STOLEN
801716,GI,14 ESCAPE 3 L,RG,BLK,24,500,STOLEN
800128,DEVINCI,HYBRIDE,MT,RED,10,500,STOLEN
800129,OTHER,SUNDAY WAVE,BM,BLU,12,1200,STOLEN
802647,GI,DEFY COMPOSITE,RC,WHI,10,3000,STOLEN
801795,OT,VILANO TUONO HY,RG,BLK,21,400,STOLEN
801796,RM,RC30,RG,WHI,15,420,STOLEN
801079,DEVINCI,WILSON SL,MT,BLKWHI,27,5500,STOLEN
801080,DB,NA,MT,GRY,21,0,UNKNOWN
801081,UK,,RG,BGE,10,40,STOLEN
802020,CR,SWIFT,MT,BLU,21,300,STOLEN
800186,AVIGO,BONE COLLECTOR,BM,BLK,1,150,STOLEN
800187,CC,VANDEL,RG,WHI,6,175,STOLEN
801477,RA,,RG,GRY,18,650,STOLEN
801478,UK,,EL,WHI,32,,STOLEN
801479,GI,BOWERY MASHUP,RG,GRY,1,400,STOLEN
800069,GIANT,XTC,MT,BLUWHI,27,2300,STOLEN
800795,CCM,,MT,REDYEL,12,300,STOLEN
800823,RALEIGH,,MT,PLE,10,200,STOLEN
800824,NO,MOUNTAIN,MT,GRY,27,350,STOLEN
801389,UNKNOWN MAKE,,EL,,12,1000,STOLEN
801674,GIANT,CYPRESS,MT,SIL,0,,STOLEN
801834,DAYMAK,VERMONT,EL,RED,1,,STOLEN
800528,OTHER,EMO,EL,BLK,0,600,STOLEN
800529,KH,URBAN SOUL 2012,OT,PLE,1,400,STOLEN
802989,OT,,MT,LBL,15,200,STOLEN
802566,NA,ROYAL,MT,WHI,30,316.38,STOLEN
802999,UK,,RG,,21,600,STOLEN
802349,SC,HYDRA MEN'S 700,OT,BLU,24,359.99,STOLEN
802350,UK,,MT,BLU,18,150,STOLEN
802781,NO,,TR,,1,50,STOLEN
801351,SPECIALIZED,ARIEL DISC,MT,WHI,0,800,STOLEN
801352,SPECIALIZED,STUMPJUMPER COM,MT,BLKYEL,0,2500,STOLEN
801353,TREK,LUSH SL,MT,GRYWHI,0,3500,STOLEN
803002,NA,ROYAL NINE FOUR,RG,WHI,5,309,STOLEN
801084,SUPERCYCLE,,MT,PNKPLE,6,70,STOLEN
801085,UNKNOWN MAKE,,MT,BLU,10,80,STOLEN
800639,SUPERCYCLE,NITROUS,MT,RED,10,300,UNKNOWN
801155,OTHER,,BM,DGR,1,200,STOLEN
800235,OTHER,,MT,,21,,STOLEN
800236,TREK,MADONE 6.2,MT,BLKRED,12,5000,STOLEN
802366,NO,,RG,BLK,21,565,STOLEN
803489,OTHER,,RC,BLU,6,50,STOLEN
801862,OTHER,KING CURB,BM,BLK,1,250,STOLEN
802183,SUPERCYCLE,UNK,MT,BLKGRN,10,129,STOLEN
802184,UNKNOWN MAKE,UNK,BM,BLKSIL,10,140,STOLEN
801654,SPECILAISED,ROAD,RC,,1,2000,STOLEN
802762,OT,,RC,LBL,21,500,STOLEN
801614,SUN,TOURS,MT,BLU,8,600,STOLEN
801615,TR,7100,OT,BRN,21,510,STOLEN
802090,UNKNOWN MAKE,PK RIPPER,BM,BLK,24,500,STOLEN
802091,SPECIALIZED,CUSTOM,TO,SIL,10,,STOLEN
800551,SCHWINN,,MT,BLKWHI,21,1300,STOLEN
801541,RALEIGH,UNKNOWN,MT,BLU,21,150,STOLEN
803022,HF,,MT,GRY,21,200,RECOVERED
803023,CC,,RG,WHI,10,0,STOLEN
801784,CA,BAD BOY,OT,BLK,27,1000,STOLEN
802259,GARY FISHER,MOUNTAINE BIKE,MT,BLKSIL,10,2000,STOLEN
802260,CCM,,BM,BLKPNK,10,500,STOLEN
802261,CC,ORION,RG,BLK,21,300,STOLEN
802582,RA,WOMENS ROUTE 5.,OT,WHI,8,659.99,STOLEN
802111,SPECIALIZED,ALLEZ,RC,REDWHI,21,900,STOLEN
801857,GIANT,,OT,BLU,24,700,STOLEN
802092,OTHER,0K2001,MT,REDYEL,10,900,STOLEN
800253,PEUGOT,ROAD BIKE,RC,ONG,1,400,STOLEN
800254,ROCKYMOUNTAIN,ELEMENT 10,MT,WHI,1,2000,STOLEN
800255,NO,VFR 3,OT,SIL,18,500,STOLEN
800465,CANNONDALE,SWIFT,MT,,21,600,STOLEN
800474,SUPERCYCLE,,RG,RED,10,200,STOLEN
800475,FELT,Z3,RC,BLK,18,2500,STOLEN
801514,PE,,MT,WHI,6,,STOLEN
801515,CC,COURSE 700C ROA,RC,BGE,14,1200,STOLEN
801516,UK,,OT,,1,,STOLEN
801763,DB,,MT,BLK,12,750,STOLEN
801764,GI,,RC,BLK,20,1200,RECOVERED
800504,FUJI,NEWEST,OT,GRY,21,,STOLEN
802185,GIANT,,MT,GRN,21,300,STOLEN
801263,EMMA,BIKE,EL,BGE,1,2000,STOLEN
801020,SCHWINN,BEACH CRUISER,OT,BLK,4,4000,STOLEN
801729,NO,XFR3,MT,BLK,24,850,STOLEN
800459,MONGOOSE,,OT,DGR,5,250,STOLEN
800460,OTHER,,OT,PLEGRN,0,,STOLEN
800461,OTHER,,OT,BLUBLK,0,,STOLEN
800606,OTHER,KIDS RIDE ALONE,OT,BLU,1,72,STOLEN
800607,GIO,ITALIA,EL,BLK,4,1000,STOLEN
800028,KONA,,TO,,18,,STOLEN
800556,NORCO,,TO,BLK,7,600,STOLEN
802557,OT,GLIDER,OT,BLU,15,100,STOLEN
802352,OT,Q24,MT,RED,21,500,STOLEN
802177,OTHER,,EL,BLK,15,500,STOLEN
802754,GI,,RC,WHI,1,2000,STOLEN
802529,OT,APOLLO,RG,WHI,10,300,STOLEN
802530,OT,ROADSTER,RG,BLK,3,1000,STOLEN
800658,OTHER,MASI UNO,RG,BLKRED,1,620,STOLEN
802646,MA,KENTFIELD,RG,GRY,10,900,STOLEN
