hood_id,name,division,high_school,university,technical_degree,employment_rate
82,Niagara,D14,9.280487805,75.65853659,11.93902439,82.7
68,North Riverdale,D55,13.96226415,68.67924528,9.509433962,69.85
74,North St. James Town,D51,18.80869995,58.00790905,13.09935739,60.15
54,Oakridge,D54,24.60285132,42.93279022,13.97148676,48.95
121,Oakwood Village,D41,20.06246997,45.55502162,12.99855839,61.45
107,O'Connor-Parkview,D13,23.95480226,42.76836158,16.86440678,56.05
58,Old East York,D54,20.75268817,50,14.83870968,62.85
80,Palmerston-Little Italy,D14,14.35805779,65.74322312,9.204647006,69.2
45,Parkwoods-Donalda,D33,21.90135811,51.12223016,15.13938528,57.7
23,Pelmo Park-Humberlea,D12,27.22107438,33.47107438,16.47727273,61.6
67,Playter Estates-Danforth,D54,13.66245695,68.02525832,11.02181401,67.8
46,Pleasant View,D33,20.72339164,52.23836347,13.07441447,53.35
10,Princess-Rosethorn,D22,16.03358657,66.05357857,10.27588964,59.7
72,Regent Park,D51,20.94170404,51.34529148,10.94170404,56.55
4,Rexdale-Kipling,D23,28.14308259,34.13992635,17.09626512,56.15
111,Rockcliffe-Smythe,D12,27.92240939,27.61613068,15.39050536,54.45
86,Roncesvalles,D11,16.83657708,60.82792709,11.21408712,67.05
98,Rosedale-Moore Park,D53,11.19126535,77.73445116,6.999415091,60.65
131,Rouge,D42,26.60020392,40.95389147,17.53710207,59.55
89,Runnymede-Bloor West Village,D11,12.87174721,67.61152416,10.59479554,69.05
28,Rustic,D12,30.40201005,21.41959799,16.14321608,48.2
139,Scarborough Village,D43,25.82736267,38.28045036,15.72842033,50.4
85,South Parkdale,D14,20.29180696,49.71941639,16.2962963,64.65
70,South Riverdale,D55,16.23168884,57.66964135,12.4600101,66.8
40,St.Andrew-Windfields,D33,15.22583779,68.96551724,8.814958718,56.65
116,Steeles,D42,24.51828549,44.65198584,11.266221,47.65
16,Stonegate-Queensway,D22,17.22966597,58.80354784,13.70069824,63.05
118,Tam O'Shanter-Sullivan,D42,22.95318995,47.58720405,13.3381529,51.05
61,Taylor-Massey,D54,20.48112262,52.25526228,13.69863014,56.3
63,The Beaches,D55,14.18792782,68.65795478,11.11802531,68.15
3,Thistletown-Beaumond Heights,D23,25.60175055,35.94091904,15.75492341,54.15
55,Thorncliffe Park,D53,21.6325431,50,11.15301724,49.05
81,Trinity-Bellwoods,D14,17.7940777,55.82722086,9.45395273,65.25
79,University,D14,13.84525887,73.12390925,6.980802792,65.45
