accident_id,person_id,involvement_type,age,injury,vehicle_type,action_taken
1,1,Vehicle Owner,,None,Other,
1,2,Driver,22.0,Minimal,"Automobile, Station Wagon",Going Ahead
1,3,Other Property Owner,,None,Other,
1,4,Passenger,17.0,Major,Other,
2,5,Passenger,17.0,Major,Other,
2,6,Passenger,17.0,Major,Other,Other
2,7,Vehicle Owner,,,Other,
2,8,Driver,17.0,Major,"Automobile, Station Wagon",Going Ahead
3,9,Vehicle Owner,,,Other,
3,10,Driver,27.0,None,"Automobile, Station Wagon",Going Ahead
3,11,Pedestrian,32.0,Fatal,Other,
4,12,Driver,32.0,None,"Automobile, Station Wagon",Going Ahead
4,13,Pedestrian,62.0,Major,Other,
5,14,Vehicle Owner,,,Other,
5,15,Driver,37.0,None,Municipal Transit Bus (TTC),Turning Right
5,16,Cyclist,27.0,Major,Bicycle,Going Ahead
6,17,Driver,,None,"Automobile, Station Wagon",Turning Left
6,18,Pedestrian,67.0,Fatal,Other,
7,19,Motorcycle Driver,47.0,Fatal,Motorcycle,Turning Right
7,20,Driver,,None,"Automobile, Station Wagon",Going Ahead
8,21,Driver,32.0,None,"Automobile, Station Wagon",Turning Left
8,22,Pedestrian,27.0,Major,Other,
9,23,Passenger,57.0,Major,Other,
9,24,Vehicle Owner,,None,Other,
9,25,Passenger,2.0,Minor,Other,
9,26,Driver,27.0,Minor,"Automobile, Station Wagon",Going Ahead
9,27,Driver,67.0,Major,"Automobile, Station Wagon",Turning Left
9,28,Driver,37.0,None,"Automobile, Station Wagon",Stopped
9,29,Driver,27.0,Major,"Automobile, Station Wagon",Going Ahead
10,30,Driver,47.0,Minimal,"Automobile, Station Wagon",Going Ahead
10,31,Vehicle Owner,,None,Other,
10,32,Passenger,52.0,Major,Other,
10,33,Passenger,27.0,None,Other,
10,34,Passenger,37.0,None,Other,
10,35,Driver,37.0,Major,"Automobile, Station Wagon",Going Ahead
11,36,Driver,27.0,None,"Automobile, Station Wagon",Going Ahead
11,37,Pedestrian,62.0,Major,Other,
12,38,Driver,42.0,None,"Automobile, Station Wagon",Going Ahead
12,39,Pedestrian,52.0,Major,Other,
13,40,Driver,27.0,None,"Automobile, Station Wagon",Going Ahead
13,41,Passenger,17.0,Minimal,Other,Other
13,42,Passenger,22.0,Major,Other,Other
13,43,Passenger,17.0,Major,Other,Other
13,44,Vehicle Owner,,None,Other,Other
13,45,Driver,17.0,Minimal,"Automobile, Station Wagon",Going Ahead
14,46,Driver,27.0,None,"Automobile, Station Wagon",Going Ahead
14,47,Driver,22.0,Major,"Automobile, Station Wagon",Making U Turn
15,48,Passenger,27.0,Major,Other,
15,49,Driver,27.0,Minor,"Automobile, Station Wagon",Going Ahead
15,50,Other Property Owner,,None,Other,
16,51,Driver,27.0,Major,"Automobile, Station Wagon",Stopped
16,52,Driver,42.0,Minor,"Automobile, Station Wagon",Going Ahead
16,53,Passenger,82.0,Major,Other,
16,54,Passenger,52.0,Minor,Other,
16,55,Driver,52.0,Major,"Automobile, Station Wagon",Going Ahead
16,56,Driver,22.0,None,"Automobile, Station Wagon",Stopped
17,57,Passenger,22.0,Minimal,Other,
17,58,Driver,27.0,Major,"Automobile, Station Wagon",Slowing or Stopping
17,59,Driver,32.0,None,"Automobile, Station Wagon",Going Ahead
18,60,Driver,,None,"Automobile, Station Wagon",Unknown
18,61,Pedestrian,27.0,Major,Other,
19,62,Vehicle Owner,,,Other,
19,63,Passenger,32.0,Major,Other,
19,64,Driver,32.0,None,"Automobile, Station Wagon",Stopped
19,65,Driver,32.0,None,"Automobile, Station Wagon",Overtaking
20,66,Driver,52.0,Minimal,"Automobile, Station Wagon",Going Ahead
20,67,Passenger,27.0,Minimal,Other,
20,68,Driver,22.0,Major,"Automobile, Station Wagon",Stopped
20,69,Driver,27.0,Minimal,"Automobile, Station Wagon",Going Ahead
20,70,Driver,32.0,None,"Automobile, Station Wagon",Going Ahead
21,71,Vehicle Owner,,None,Other,
21,72,Driver,42.0,None,"Automobile, Station Wagon",Slowing or Stopping
21,73,Driver,57.0,Major,Other,Slowing or Stopping
22,74,Driver,57.0,None,"Automobile, Station Wagon",Stopped
22,75,Motorcycle Driver,42.0,Major,Motorcycle,Changing Lanes
23,76,Driver,47.0,None,"Automobile, Station Wagon",Going Ahead
23,77,Driver,62.0,Major,"Automobile, Station Wagon",Stopped
24,78,Driver,57.0,Minor,"Automobile, Station Wagon",Going Ahead
24,79,Driver,27.0,Major,"Automobile, Station Wagon",Going Ahead
25,80,Passenger,7.0,Minor,Other,
25,81,Passenger,32.0,Fatal,Other,
25,82,Driver,37.0,Major,"Automobile, Station Wagon",Going Ahead
25,83,Driver,52.0,None,"Automobile, Station Wagon",Stopped
25,84,Vehicle Owner,,,Other,
25,85,Driver,52.0,None,Municipal Transit Bus (TTC),Going Ahead
26,86,Driver,32.0,None,"Automobile, Station Wagon",Turning Left
26,87,Pedestrian,72.0,Major,Other,
27,88,Passenger,77.0,Major,Other,Other
27,89,Driver,82.0,Minor,"Automobile, Station Wagon",Turning Left
27,90,Driver,37.0,Minimal,"Automobile, Station Wagon",Going Ahead
28,91,Passenger,27.0,Major,Other,
28,92,Passenger,22.0,Minor,Other,
28,93,Vehicle Owner,,,Other,
28,94,Driver,27.0,Minor,"Automobile, Station Wagon",Going Ahead
29,95,Driver,77.0,None,"Automobile, Station Wagon",Turning Left
29,96,Pedestrian,22.0,Minor,Other,
29,97,Pedestrian,22.0,Major,Other,
30,98,Driver,27.0,None,"Automobile, Station Wagon",Going Ahead
30,99,Passenger,52.0,Minimal,Other,
30,100,Driver,52.0,None,"Automobile, Station Wagon",Going Ahead
30,101,Driver,,None,"Automobile, Station Wagon",Going Ahead
30,102,Vehicle Owner,,,Other,
30,103,Driver,37.0,Minor,"Automobile, Station Wagon",Going Ahead
30,104,Driver,42.0,None,"Automobile, Station Wagon",Going Ahead
30,105,Cyclist,27.0,Major,Bicycle,Going Ahead
30,106,Other Property Owner,,,Other,
31,107,Passenger,52.0,Major,,
31,108,Passenger,17.0,Minor,,
31,109,Driver,57.0,Minor,"Automobile, Station Wagon",Going Ahead
31,110,Passenger,22.0,Minor,,
31,111,Vehicle Owner,,,,
31,112,Driver,27.0,None,"Automobile, Station Wagon",Going Ahead
32,113,Driver,32.0,None,"Automobile, Station Wagon",Stopped
32,114,Vehicle Owner,,None,Other,
32,115,Driver,57.0,None,"Automobile, Station Wagon",Going Ahead
32,116,Driver,72.0,Minor,"Automobile, Station Wagon",Going Ahead
32,117,Driver,32.0,Major,"Automobile, Station Wagon",Stopped
33,118,Pedestrian,12.0,Major,Other,
33,119,Passenger,32.0,None,Other,Other
33,120,Passenger,27.0,None,Other,Other
33,121,Vehicle Owner,,None,Other,Going Ahead
33,122,Driver,27.0,None,"Automobile, Station Wagon",Going Ahead
34,123,Pedestrian,57.0,Major,Other,
34,124,Driver,22.0,None,"Automobile, Station Wagon",Slowing or Stopping
35,125,Vehicle Owner,,,Other,
35,126,Driver,22.0,None,"Automobile, Station Wagon",Going Ahead
35,127,Pedestrian,17.0,Fatal,Other,
36,128,Driver,27.0,None,"Automobile, Station Wagon",Going Ahead
36,129,Pedestrian,32.0,Fatal,Other,
37,130,Driver,27.0,None,"Automobile, Station Wagon",Going Ahead
37,131,Vehicle Owner,,None,Other,
37,132,Truck Driver,37.0,Major,Truck - Open,Going Ahead
37,133,Other,,None,Other,
38,134,Passenger,42.0,Major,Other,Other
38,135,Driver,42.0,Minimal,"Automobile, Station Wagon",Slowing or Stopping
38,136,Driver,22.0,None,"Automobile, Station Wagon",Going Ahead
39,137,Passenger,37.0,Minor,"Automobile, Station Wagon",Other
39,138,Vehicle Owner,,None,Other,Other
39,139,Driver,37.0,Minor,"Automobile, Station Wagon",Turning Left
39,140,Driver,62.0,Major,"Automobile, Station Wagon",Other
40,141,Vehicle Owner,,None,Other,Unknown
40,142,Driver,,None,"Automobile, Station Wagon",Going Ahead
40,143,Passenger,42.0,Major,Other,Other
40,144,Passenger,12.0,Minor,Other,Other
40,145,Passenger,7.0,Minimal,Other,Other
40,146,Passenger,17.0,Minor,Other,Other
40,147,Driver,27.0,Minor,"Automobile, Station Wagon",Turning Left
41,148,Vehicle Owner,,None,Other,
41,149,Driver,67.0,Major,"Automobile, Station Wagon",Going Ahead
42,150,Driver,57.0,None,"Automobile, Station Wagon",Turning Right
42,151,Pedestrian,57.0,Major,Other,
43,152,Passenger,12.0,Minimal,Other,
43,153,Driver,32.0,None,"Automobile, Station Wagon",Going Ahead
43,154,Pedestrian,17.0,Major,Other,
44,155,Vehicle Owner,,,Other,
44,156,Passenger,32.0,Major,Other,Other
44,157,Driver,22.0,Major,"Automobile, Station Wagon",Going Ahead
45,158,Vehicle Owner,,,Other,
45,159,Driver,37.0,None,"Automobile, Station Wagon",Turning Left
45,160,Pedestrian,62.0,Major,Other,
46,161,Vehicle Owner,,None,Other,Unknown
46,162,Driver,32.0,None,"Automobile, Station Wagon",Going Ahead
46,163,Vehicle Owner,,None,Other,
46,164,Driver,27.0,Major,"Automobile, Station Wagon",Going Ahead
47,165,Driver,57.0,Major,"Automobile, Station Wagon",Going Ahead
47,166,Other Property Owner,,None,Other,
48,167,Driver,,None,"Automobile, Station Wagon",Going Ahead
48,168,Cyclist,32.0,Major,Bicycle,Going Ahead
49,169,Vehicle Owner,,None,Other,
49,170,Passenger,32.0,Major,Other,
49,171,Passenger,27.0,Minimal,Other,
49,172,Passenger,27.0,Major,Other,
49,173,Driver,22.0,Minimal,"Automobile, Station Wagon",Slowing or Stopping
49,174,Driver,,None,"Automobile, Station Wagon",Going Ahead
50,175,Driver,62.0,None,"Automobile, Station Wagon",Going Ahead
50,176,Driver,37.0,Major,"Automobile, Station Wagon",Going Ahead
50,177,Vehicle Owner,,None,Other,
50,178,Truck Driver,37.0,None,Truck - Open,Going Ahead
51,179,Vehicle Owner,,None,Other,
51,180,Driver,52.0,None,"Automobile, Station Wagon",Going Ahead
51,181,Other Property Owner,,None,Other,
51,182,Pedestrian,52.0,Major,Other,
52,183,Passenger,27.0,Major,Other,
52,184,Driver,32.0,Major,"Automobile, Station Wagon",Overtaking
52,185,Other Property Owner,,,Other,
53,186,Driver,37.0,None,"Automobile, Station Wagon",Going Ahead
53,187,Pedestrian,12.0,Major,Other,
54,188,Vehicle Owner,,None,Other,
54,189,Driver,32.0,Major,"Automobile, Station Wagon",Going Ahead
54,190,Driver,52.0,Minor,"Automobile, Station Wagon",Changing Lanes
55,191,Vehicle Owner,,None,Other,
55,192,Truck Driver,32.0,None,Truck - Open,Turning Left
55,193,Driver,52.0,Major,"Automobile, Station Wagon",Turning Left
55,194,Other,,None,Other,
56,195,Vehicle Owner,,,Other,
56,196,Driver,37.0,Minor,,Going Ahead
56,197,Driver,62.0,Fatal,"Automobile, Station Wagon",Going Ahead
57,198,Driver,27.0,None,"Automobile, Station Wagon",Going Ahead
57,199,Pedestrian,62.0,Minor,Other,
57,200,Pedestrian,7.0,Major,Other,
58,201,Vehicle Owner,,,"Automobile, Station Wagon",
58,202,Driver,52.0,None,"Automobile, Station Wagon",Turning Left
58,203,Pedestrian,72.0,Fatal,Other,
59,204,Driver,47.0,None,"Automobile, Station Wagon",Turning Left
59,205,Pedestrian,62.0,Major,Other,
60,206,Driver,47.0,None,"Automobile, Station Wagon",Turning Right
60,207,Cyclist,42.0,Major,Bicycle,Going Ahead
61,208,Driver,47.0,None,"Automobile, Station Wagon",Turning Left
61,209,Pedestrian,62.0,Major,Other,
62,210,Passenger,22.0,Major,Other,
62,211,Driver,27.0,None,"Automobile, Station Wagon",Turning Left
62,212,Driver,22.0,None,"Automobile, Station Wagon",Going Ahead
63,213,Driver,22.0,None,"Automobile, Station Wagon",Turning Left
63,214,Cyclist,17.0,Major,Bicycle,Going Ahead
64,215,Vehicle Owner,,,Other,
64,216,Driver,47.0,None,"Automobile, Station Wagon",Overtaking
64,217,Cyclist,67.0,Major,Bicycle,Going Ahead
65,218,Vehicle Owner,,,Other,
65,219,Driver,37.0,None,"Automobile, Station Wagon",Turning Right
65,220,Cyclist,17.0,Major,Bicycle,Going Ahead
66,221,Driver,32.0,Major,"Automobile, Station Wagon",Overtaking
66,222,Driver,37.0,None,"Automobile, Station Wagon",Going Ahead
66,223,Vehicle Owner,,None,Other,Unknown
66,224,Driver,67.0,Minor,"Automobile, Station Wagon",Going Ahead
67,225,Vehicle Owner,,,Other,
67,226,Motorcycle Driver,32.0,Fatal,Motorcycle,Going Ahead
67,227,Other,,None,Other,Parked
67,228,Passenger,22.0,None,Other,
67,229,Driver - Not Hit,,None,"Automobile, Station Wagon",
68,230,Vehicle Owner,,None,Other,
68,231,Driver,67.0,None,"Automobile, Station Wagon",Going Ahead
68,232,Pedestrian,47.0,Major,Other,
69,233,Motorcycle Passenger,42.0,Major,Other,
69,234,Motorcycle Driver,42.0,Major,Motorcycle,Going Ahead
70,235,Vehicle Owner,,None,Other,
70,236,Truck Driver,42.0,Minimal,Truck - Open,Stopped
70,237,Passenger,22.0,Major,Other,
70,238,Driver,22.0,Minimal,"Automobile, Station Wagon",Going Ahead
71,239,Other Property Owner,,None,Other,
71,240,Passenger,22.0,Major,Other,
71,241,Passenger,17.0,Minor,Other,
71,242,Vehicle Owner,,None,Other,
71,243,Driver,22.0,None,"Automobile, Station Wagon",Turning Right
72,244,Vehicle Owner,,None,Other,
72,245,Driver,52.0,None,"Automobile, Station Wagon",Overtaking
72,246,Pedestrian,12.0,Major,Other,
73,247,Vehicle Owner,,None,Other,
73,248,Truck Driver,32.0,None,Truck - Open,Going Ahead
73,249,Driver,62.0,Major,"Automobile, Station Wagon",Going Ahead
74,250,Driver,17.0,None,"Automobile, Station Wagon",Going Ahead
74,251,Driver,42.0,None,"Automobile, Station Wagon",Slowing or Stopping
74,252,Passenger,27.0,Major,Other,
75,253,Motorcycle Driver,27.0,Major,Motorcycle,Going Ahead
75,254,Vehicle Owner,,None,Other,
75,255,Driver,47.0,None,"Automobile, Station Wagon",Turning Left
76,256,Passenger,22.0,Major,Other,
76,257,Driver,27.0,Major,"Automobile, Station Wagon",Going Ahead
76,258,Passenger,27.0,Minor,Other,
76,259,Driver,22.0,Minimal,"Automobile, Station Wagon",Going Ahead
77,260,Driver,27.0,None,"Automobile, Station Wagon",Going Ahead
77,261,Passenger,7.0,Major,Other,
77,262,Passenger,32.0,Minimal,Other,
77,263,Passenger,7.0,Minimal,Other,
77,264,Driver,32.0,None,"Automobile, Station Wagon",Going Ahead
78,265,Driver,37.0,None,"Automobile, Station Wagon",Going Ahead
78,266,Passenger,22.0,Minor,Other,
78,267,Passenger,22.0,Major,Other,
78,268,Vehicle Owner,,None,Other,
78,269,Driver,22.0,Minimal,"Automobile, Station Wagon",Turning Left
79,270,Vehicle Owner,,,Other,
79,271,Driver,47.0,Minimal,"Automobile, Station Wagon",Going Ahead
79,272,Passenger,72.0,Minimal,Other,
79,273,Driver,62.0,Major,"Automobile, Station Wagon",Pulling Away from Shoulder or Curb
80,274,Driver,57.0,None,Other,Turning Left
80,275,Pedestrian,37.0,Major,Other,
81,276,Motorcycle Passenger,27.0,Minimal,Other,
81,277,Motorcycle Driver,32.0,Major,Motorcycle,Going Ahead
82,278,Vehicle Owner,,,Other,
82,279,Driver,22.0,None,"Automobile, Station Wagon",Going Ahead
82,280,Cyclist,27.0,Major,Bicycle,Going Ahead
83,281,Motorcycle Driver,27.0,Major,Motorcycle,Going Ahead
83,282,Driver,57.0,None,"Automobile, Station Wagon",Going Ahead
84,283,Passenger,37.0,Minimal,Other,
84,284,Driver,42.0,Major,"Automobile, Station Wagon",Stopped
84,285,Passenger,52.0,Minimal,Other,
84,286,Driver,52.0,None,"Automobile, Station Wagon",Stopped
84,287,Passenger,32.0,Major,Other,
84,288,Driver,52.0,Major,"Automobile, Station Wagon",Going Ahead
84,289,Driver,47.0,None,"Automobile, Station Wagon",Stopped
85,290,Driver,22.0,None,"Automobile, Station Wagon",Turning Right
85,291,Pedestrian,47.0,Fatal,Other,
86,292,Driver,52.0,Major,"Automobile, Station Wagon",Going Ahead
86,293,Vehicle Owner,,None,Other,
86,294,Driver,42.0,None,Municipal Transit Bus (TTC),Going Ahead
87,295,Truck Driver,62.0,None,Truck - Open,Going Ahead
87,296,Driver,32.0,Major,"Automobile, Station Wagon",Going Ahead
88,297,Vehicle Owner,,,Other,
88,298,Driver,57.0,None,"Automobile, Station Wagon",Turning Left
88,299,Cyclist,47.0,Major,Bicycle,Going Ahead
89,300,Driver,22.0,None,"Automobile, Station Wagon",Turning Right
89,301,Pedestrian,82.0,Major,Other,
90,302,Vehicle Owner,,,Other,
90,303,Driver,42.0,None,"Automobile, Station Wagon",Going Ahead
90,304,Pedestrian,12.0,Major,Other,
91,305,Driver,72.0,None,"Automobile, Station Wagon",Going Ahead
91,306,Cyclist,62.0,Major,Bicycle,Going Ahead
92,307,Driver,32.0,Minor,"Automobile, Station Wagon",Going Ahead
92,308,Driver,47.0,None,"Automobile, Station Wagon",Going Ahead
92,309,Passenger,42.0,Major,Other,
93,310,Passenger,32.0,Minor,Other,
93,311,Passenger,17.0,Minor,Other,
93,312,Driver,27.0,Major,"Automobile, Station Wagon",Going Ahead
93,313,Other Property Owner,,None,Other,
93,314,Passenger,27.0,Minor,Other,
94,315,Vehicle Owner,,,Other,
94,316,Driver,52.0,Major,"Automobile, Station Wagon",Going Ahead
94,317,Passenger,2.0,Minor,Other,
94,318,Driver,57.0,Major,"Automobile, Station Wagon",Turning Left
94,319,Driver,42.0,None,"Automobile, Station Wagon",Stopped
94,320,Other Property Owner,,,Other,
95,321,Vehicle Owner,,,Other,
95,322,Driver,27.0,Minor,"Automobile, Station Wagon",Going Ahead
95,323,Driver,42.0,Fatal,"Automobile, Station Wagon",Going Ahead
96,324,Driver,57.0,None,"Automobile, Station Wagon",Going Ahead
96,325,Driver,62.0,None,"Automobile, Station Wagon",Turning Left
96,326,Driver,42.0,None,"Automobile, Station Wagon",Stopped
96,327,Pedestrian,47.0,Major,Other,
97,328,Driver,42.0,Minimal,"Automobile, Station Wagon",Going Ahead
97,329,Driver,47.0,Major,Passenger Van,Going Ahead
97,330,Other Property Owner,,,,
98,331,Passenger,22.0,Minor,Other,
98,332,Vehicle Owner,,None,Other,
98,333,Driver,27.0,Major,"Automobile, Station Wagon",Going Ahead
99,334,Driver,47.0,Major,"Automobile, Station Wagon",Going Ahead
99,335,Vehicle Owner,,None,Other,Parked
99,336,Other Property Owner,,None,Other,
100,337,Driver,,None,"Automobile, Station Wagon",Going Ahead
100,338,Pedestrian,22.0,Major,Other,
101,339,Driver,47.0,Major,"Automobile, Station Wagon",Going Ahead
102,340,Other,95.0,None,Other,Parked
102,341,Vehicle Owner,,None,Other,
102,342,Passenger,2.0,Major,Other,
102,343,Driver,37.0,Minimal,"Automobile, Station Wagon",Changing Lanes
103,344,Vehicle Owner,,,Other,
103,345,Truck Driver,47.0,None,Truck - Open,Overtaking
103,346,Cyclist,47.0,Fatal,Bicycle,Going Ahead
104,347,Driver,17.0,Major,"Automobile, Station Wagon",Going Ahead
105,348,Passenger,22.0,None,Other,
105,349,Passenger,12.0,None,Other,
105,350,Vehicle Owner,,,Other,
105,351,Driver,22.0,None,"Automobile, Station Wagon",Going Ahead
105,352,Pedestrian,12.0,Fatal,Other,
106,353,Driver,42.0,None,"Automobile, Station Wagon",Going Ahead
106,354,Passenger,37.0,Major,Other,
107,355,Vehicle Owner,,,Other,
107,356,Driver,32.0,None,"Automobile, Station Wagon",Going Ahead
107,357,Pedestrian,17.0,Major,Other,
108,358,Driver,32.0,None,"Automobile, Station Wagon",Going Ahead
108,359,Driver,57.0,Major,"Automobile, Station Wagon",Going Ahead
109,360,Pedestrian,77.0,Major,Other,
109,361,Passenger,2.0,None,Other,
109,362,Passenger,7.0,None,Other,
109,363,Passenger,27.0,None,Other,
109,364,Driver,37.0,None,"Automobile, Station Wagon",Turning Left
110,365,Vehicle Owner,,,Other,
110,366,Driver,47.0,None,"Automobile, Station Wagon",Turning Right
110,367,Pedestrian,72.0,Major,Other,
111,368,Driver,52.0,Minimal,"Automobile, Station Wagon",Going Ahead
111,369,Passenger,17.0,Major,Other,
111,370,Passenger,17.0,Minor,Other,
111,371,Driver,17.0,Minimal,"Automobile, Station Wagon",Changing Lanes
112,372,Pedestrian,32.0,Major,Other,
112,373,Driver,27.0,None,"Automobile, Station Wagon",Turning Right
113,374,Vehicle Owner,,None,Other,
113,375,Driver,47.0,Major,Other,Going Ahead
113,376,Driver,,None,"Automobile, Station Wagon",Going Ahead
114,377,Vehicle Owner,,,Other,
114,378,Driver,32.0,None,"Automobile, Station Wagon",Turning Right
114,379,Pedestrian,17.0,Major,Other,
115,380,Passenger,62.0,Major,Other,
115,381,Driver,67.0,Major,"Automobile, Station Wagon",Turning Left
115,382,Driver,17.0,Minimal,"Automobile, Station Wagon",Going Ahead
116,383,Passenger,17.0,None,Other,
116,384,Driver,17.0,None,"Automobile, Station Wagon",Going Ahead
116,385,Pedestrian,67.0,Major,Other,
117,386,Passenger,17.0,Minimal,Other,
117,387,Passenger,17.0,Fatal,Other,
117,388,Vehicle Owner,,,Other,
117,389,Driver,17.0,Major,"Automobile, Station Wagon",Going Ahead
117,390,Other Property Owner,,,Other,
118,391,Driver,,None,"Automobile, Station Wagon",Turning Left
118,392,Pedestrian,72.0,Major,Other,
119,393,Vehicle Owner,,,Other,
119,394,Driver,37.0,None,"Automobile, Station Wagon",Going Ahead
119,395,Pedestrian,82.0,Fatal,Other,
120,396,Driver,,None,"Automobile, Station Wagon",Going Ahead
120,397,Pedestrian,27.0,Major,Other,
121,398,Driver,42.0,None,"Automobile, Station Wagon",Turning Left
121,399,Pedestrian,82.0,Major,Other,
122,400,Driver,47.0,Major,"Automobile, Station Wagon",Going Ahead
122,401,Passenger,47.0,Major,Other,
122,402,Driver,37.0,Major,"Automobile, Station Wagon",Turning Left
123,403,Vehicle Owner,,None,Other,
123,404,Driver,37.0,None,"Automobile, Station Wagon",Going Ahead
123,405,Driver,42.0,Major,"Automobile, Station Wagon",Going Ahead
124,406,Driver,47.0,None,"Automobile, Station Wagon",Going Ahead
124,407,Cyclist,42.0,Major,Bicycle,Going Ahead
125,408,Vehicle Owner,,None,Other,
125,409,Driver,42.0,None,"Automobile, Station Wagon",Going Ahead
125,410,Truck Driver,22.0,None,Truck - Open,Going Ahead
125,411,Driver,37.0,Major,"Automobile, Station Wagon",Going Ahead
125,412,Driver,62.0,Major,"Automobile, Station Wagon",Stopped
126,413,Driver,42.0,None,"Automobile, Station Wagon",Going Ahead
126,414,Pedestrian,17.0,Major,Other,
127,415,Motorcycle Driver,37.0,Major,Motorcycle,Going Ahead
127,416,Driver,72.0,None,"Automobile, Station Wagon",Turning Left
128,417,Driver,77.0,None,"Automobile, Station Wagon",Turning Right
128,418,Pedestrian,62.0,Fatal,Other,
129,419,Vehicle Owner,,None,Other,
129,420,Passenger,22.0,Major,Other,
129,421,Driver,27.0,Major,"Automobile, Station Wagon",Going Ahead
129,422,Other Property Owner,,None,Other,
130,423,Passenger,42.0,None,Other,
130,424,Driver,77.0,None,"Automobile, Station Wagon",Turning Right
130,425,Pedestrian,67.0,Major,Other,
131,426,In-Line Skater,52.0,None,"Automobile, Station Wagon",Stopped
131,427,Driver,17.0,Major,Other,Going Ahead
132,428,Driver,37.0,Major,"Automobile, Station Wagon",Going Ahead
132,429,Other Property Owner,,None,Other,
133,430,Vehicle Owner,,None,Other,
133,431,Driver,47.0,None,"Automobile, Station Wagon",Turning Left
133,432,Passenger,42.0,Minimal,Other,
133,433,Driver,42.0,Minimal,"Automobile, Station Wagon",Stopped
133,434,Driver,22.0,Minor,"Automobile, Station Wagon",Going Ahead
133,435,Driver,37.0,None,"Automobile, Station Wagon",Going Ahead
133,436,Pedestrian,72.0,Major,Other,
134,437,Driver,,None,"Automobile, Station Wagon",Changing Lanes
134,438,Passenger,42.0,Major,Other,
134,439,Vehicle Owner,,None,Other,
134,440,Driver,52.0,Minimal,"Automobile, Station Wagon",Going Ahead
135,441,Driver,17.0,Major,"Automobile, Station Wagon",Going Ahead
135,442,Vehicle Owner,,None,Other,
135,443,Driver,47.0,None,"Automobile, Station Wagon",Going Ahead
136,444,Motorcycle Driver,32.0,Major,Motorcycle,Going Ahead
136,445,Vehicle Owner,,,,
136,446,Driver,57.0,None,Delivery Van,Stopped
137,447,Vehicle Owner,,,Other,
137,448,Driver,62.0,Fatal,"Automobile, Station Wagon",Turning Left
137,449,Driver,22.0,Minimal,"Automobile, Station Wagon",Going Ahead
138,450,Motorcycle Driver,17.0,Major,Motorcycle,Going Ahead
138,451,Driver,47.0,None,"Automobile, Station Wagon",Pulling Away from Shoulder or Curb
139,452,Driver,82.0,None,"Automobile, Station Wagon",Turning Left
139,453,Motorcycle Driver,22.0,Major,Motorcycle,Going Ahead
140,454,Passenger,,Minimal,Other,
140,455,Vehicle Owner,,None,Other,
140,456,Driver,32.0,Major,"Automobile, Station Wagon",Going Ahead
141,457,Driver,37.0,Major,"Automobile, Station Wagon",Stopped
141,458,Vehicle Owner,,None,Other,
141,459,Driver,32.0,None,"Automobile, Station Wagon",Going Ahead
142,460,Passenger,32.0,Major,Other,
142,461,Driver,52.0,Minor,"Automobile, Station Wagon",Going Ahead
142,462,Driver,,None,"Automobile, Station Wagon",Going Ahead
142,463,Vehicle Owner,,None,Other,
142,464,Driver,42.0,None,"Automobile, Station Wagon",Going Ahead
143,465,Driver,32.0,None,"Automobile, Station Wagon",Going Ahead
143,466,Driver,52.0,Major,"Automobile, Station Wagon",Stopped
144,467,Vehicle Owner,,,Other,
144,468,Passenger,27.0,None,Other,
144,469,Truck Driver,57.0,None,Truck - Open,Going Ahead
144,470,Passenger,27.0,Fatal,Other,
144,471,Driver,27.0,Major,"Automobile, Station Wagon",Going Ahead
145,472,Vehicle Owner,,,Other,
145,473,Driver,32.0,Fatal,"Automobile, Station Wagon",Going Ahead
145,474,Driver,42.0,Minimal,"Automobile, Station Wagon",Going Ahead
146,475,Driver,47.0,None,"Automobile, Station Wagon",Going Ahead
146,476,Vehicle Owner,,,Other,
146,477,Driver,37.0,Major,"Automobile, Station Wagon",Turning Left
147,478,Driver,82.0,Major,"Automobile, Station Wagon",Going Ahead
147,479,Vehicle Owner,,None,Other,
147,480,Driver,32.0,Minor,"Automobile, Station Wagon",Stopped
148,481,Driver,77.0,Fatal,"Automobile, Station Wagon",Turning Left
148,482,Vehicle Owner,,,Other,
148,483,Driver,27.0,None,"Automobile, Station Wagon",Going Ahead
148,484,Driver,67.0,None,"Automobile, Station Wagon",Stopped
149,485,Driver,42.0,Minimal,"Automobile, Station Wagon",Going Ahead
149,486,Vehicle Owner,,,Other,
149,487,Passenger,42.0,Fatal,Other,
149,488,Passenger,42.0,Minor,"Automobile, Station Wagon",
149,489,Other Property Owner,,,Other,
150,490,Driver,57.0,Fatal,"Automobile, Station Wagon",Going Ahead
150,491,Other Property Owner,,,Other,
151,492,Driver,37.0,Major,"Automobile, Station Wagon",Going Ahead
151,493,Passenger,7.0,Minor,Other,
151,494,Other Property Owner,,None,Other,
152,495,Driver,22.0,None,"Automobile, Station Wagon",Going Ahead
152,496,Motorcycle Driver,22.0,Major,Motorcycle,Going Ahead
153,497,Vehicle Owner,,,Other,
153,498,Driver,67.0,None,"Automobile, Station Wagon",Turning Left
153,499,Pedestrian,72.0,Fatal,Other,
154,500,Driver,32.0,None,"Automobile, Station Wagon",Turning Left
154,501,Passenger,22.0,Major,Other,
154,502,Driver,17.0,None,"Automobile, Station Wagon",Going Ahead
155,503,Passenger,17.0,Major,Other,
155,504,Driver,17.0,Minimal,"Automobile, Station Wagon",Going Ahead
155,505,Passenger,17.0,Minimal,Other,
